model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_1576,0.86204,0.73100,0.45113,0.65362,0.93100,0.53100,0.8417224976875329,0.73100,0.66500,0.93100,0.77583,0.73100
model_1110,0.85659,0.80400,0.60008,0.73167,0.88400,0.72400,nan,0.80400,0.76207,0.88400,0.81852,0.80400
model_1000,0.85579,0.69400,0.37564,0.62223,0.94000,0.44800,0.8464003898002006,0.69400,0.63003,0.94000,0.75441,0.69400
model_388,0.85528,0.73850,0.46644,0.66123,0.91600,0.56100,0.9069634517398449,0.73850,0.67601,0.91600,0.77792,0.73850
model_328,0.85274,0.80200,0.59600,0.73003,0.87900,0.72500,0.918118051501975,0.80200,0.76170,0.87900,0.81616,0.80200
model_76,0.84805,0.79750,0.58682,0.72551,0.87400,0.72100,0.8670533360219469,0.79750,0.75802,0.87400,0.81189,0.79750
model_1294,0.84566,0.75500,0.50010,0.67854,0.89200,0.61800,0.8350177765439409,0.75500,0.70016,0.89200,0.78452,0.75500
model_208,0.84466,0.74600,0.48174,0.66962,0.89500,0.59700,nan,0.74600,0.68952,0.89500,0.77894,0.74600
model_84,0.84289,0.56350,0.10937,0.53394,0.98500,0.14200,0.9079690821107789,0.56350,0.53445,0.98500,0.69293,0.56350
model_978,0.84270,0.70050,0.38890,0.62838,0.91500,0.48600,0.8784333853809921,0.70050,0.64031,0.91500,0.75340,0.70050
model_1578,0.84265,0.54300,0.06754,0.52247,0.99500,0.09100,0.8406419587898614,0.54300,0.52258,0.99500,0.68526,0.54300
model_448,0.84085,0.69850,0.38482,0.62682,0.91300,0.48400,0.9406095314972668,0.69850,0.63891,0.91300,0.75175,0.69850
model_998,0.83868,0.63400,0.25321,0.57811,0.94200,0.32600,0.8707628939820456,0.63400,0.58292,0.94200,0.72018,0.63400
model_1002,0.83782,0.52200,0.02469,0.51125,0.99700,0.04700,0.8773641551205287,0.52200,0.51128,0.99700,0.67593,0.52200
model_930,0.83473,0.51100,0.00224,0.50556,0.99700,0.02500,0.9275646170773654,0.51100,0.50558,0.99700,0.67093,0.51100
model_696,0.83403,0.50250,-0.01510,0.50125,1.00000,0.00500,nan,0.50250,0.50125,1.00000,0.66778,0.50250
model_1558,0.83389,0.50200,-0.01612,0.50100,1.00000,0.00400,0.8255504222626382,0.50200,0.50100,1.00000,0.66756,0.50200
model_1560,0.83389,0.50200,-0.01612,0.50100,1.00000,0.00400,0.8884911668253603,0.50200,0.50100,1.00000,0.66756,0.50200
model_634,0.83389,0.50200,-0.01612,0.50100,1.00000,0.00400,0.9219692474073011,0.50200,0.50100,1.00000,0.66756,0.50200
model_994,0.83375,0.50550,-0.00898,0.50277,0.99800,0.01300,nan,0.50550,0.50277,0.99800,0.66868,0.50550
model_396,0.83366,0.78900,0.56948,0.71815,0.85600,0.72200,0.9042729869331281,0.78900,0.75485,0.85600,0.80225,0.78900
model_16,0.83361,0.50300,-0.01408,0.50150,0.99900,0.00700,0.913435822484186,0.50300,0.50151,0.99900,0.66778,0.50300
model_56,0.83361,0.50100,-0.01816,0.50050,1.00000,0.00200,0.8446953382423456,0.50100,0.50050,1.00000,0.66711,0.50100
model_708,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.8551627900959616,0.50050,0.50025,1.00000,0.66689,0.50050
model_996,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,nan,0.50050,0.50025,1.00000,0.66689,0.50050
model_1006,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.9087554603088193,0.50050,0.50025,1.00000,0.66689,0.50050
model_682,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8912180622258494,0.50000,0.50000,1.00000,0.66667,0.50000
model_1620,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,nan,0.50000,0.50000,1.00000,0.66667,0.50000
model_112,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8106742229378014,0.50000,0.50000,1.00000,0.66667,0.50000
model_1596,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8115865897441256,0.50000,0.50000,1.00000,0.66667,0.50000
model_1612,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,nan,0.50000,0.50000,1.00000,0.66667,0.50000
model_690,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,nan,0.50000,0.50000,1.00000,0.66667,0.50000
model_986,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8802532894015312,0.50000,0.50000,1.00000,0.66667,0.50000
model_120,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8148726018247086,0.50000,0.50000,1.00000,0.66667,0.50000
model_714,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,nan,0.50000,0.50000,1.00000,0.66667,0.50000
model_1598,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.9036808996816272,0.50000,0.50000,1.00000,0.66667,0.50000
model_1012,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.8171733141396985,0.50000,0.50000,1.00000,0.66667,0.50000
model_716,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,nan,0.50000,0.50000,1.00000,0.66667,0.50000
model_1016,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,nan,0.50000,0.50000,1.00000,0.66667,0.50000
