model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
381,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
303,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
583,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
75,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
511,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
407,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
363,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
489,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
387,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
421,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
485,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
465,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
305,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
427,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
771,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
717,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
433,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
449,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1205,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
779,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
439,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
339,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
77,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
373,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
935,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
1449,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
1323,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
483,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
567,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1417,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
577,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1455,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
379,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
539,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
431,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1213,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
403,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
311,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
1303,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
549,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
491,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
809,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
1331,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
1345,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
587,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1755,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
361,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
751,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
659,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
595,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
413,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
377,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
1727,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
369,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
83,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
463,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
309,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
1325,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
1487,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
545,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1367,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
1639,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
429,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
19,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
1333,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
1271,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
1357,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
141,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
461,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1381,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
307,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
425,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
551,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
1055,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
1307,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
49,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
1555,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
415,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
301,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,10
371,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
1399,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
365,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
1305,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
1327,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
705,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
1031,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
947,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
1209,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
1293,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
1401,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
1447,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
1113,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
401,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,sigmoid,10
1057,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
1711,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1649,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
1395,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,softmax,10
1605,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
1445,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
481,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
1655,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
655,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
1521,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
43,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,10
911,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
477,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1225,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
1095,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
1263,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
1623,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
939,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
1451,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,swish,10
1267,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,sigmoid,10
537,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,softmax,10
943,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
79,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,10
541,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,10
905,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
777,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
1329,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,tanh,10
435,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,10
1751,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
1207,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,10
