model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
724_test,0.92194,0.91500,0.82657,0.87602,0.92600,0.90400,0.91500,0.90607,0.92600,0.91592,0.91500
724_train,0.96246,0.96000,0.91838,0.93992,0.96400,0.95600,0.96000,0.95635,0.96400,0.96016,0.96000
,,,,,,,,,,,
1872_test,0.92163,0.90900,0.81432,0.86535,0.92900,0.88900,0.90900,0.89327,0.92900,0.91078,0.90900
1872_train,0.96948,0.96550,0.92961,0.94666,0.97200,0.95900,0.96550,0.95953,0.97200,0.96572,0.96550
,,,,,,,,,,,
1114_test,0.92160,0.83700,0.66741,0.75807,0.97100,0.70300,0.83700,0.76577,0.97100,0.85626,0.83700
1114_train,0.94452,0.87950,0.75413,0.80887,0.98400,0.77500,0.87950,0.81390,0.98400,0.89090,0.87950
,,,,,,,,,,,
2004_test,0.92155,0.91050,0.81738,0.86806,0.92800,0.89300,0.91050,0.89662,0.92800,0.91204,0.91050
2004_train,0.96334,0.95750,0.91328,0.93415,0.96700,0.94800,0.95750,0.94897,0.96700,0.95790,0.95750
,,,,,,,,,,,
732_test,0.92150,0.91550,0.82759,0.87717,0.92500,0.90600,0.91550,0.90775,0.92500,0.91630,0.91550
732_train,0.96745,0.96500,0.92859,0.94701,0.96900,0.96100,0.96500,0.96131,0.96900,0.96514,0.96500
,,,,,,,,,,,
2742_test,0.92123,0.88050,0.75617,0.81849,0.94500,0.81600,0.88050,0.83702,0.94500,0.88774,0.88050
2742_train,0.91478,0.87800,0.75107,0.81703,0.93600,0.82000,0.87800,0.83871,0.93600,0.88469,0.87800
,,,,,,,,,,,
1744_test,0.92116,0.91800,0.83269,0.88199,0.92300,0.91300,0.91800,0.91386,0.92300,0.91841,0.91800
1744_train,0.95243,0.95150,0.90104,0.92899,0.95300,0.95000,0.95150,0.95015,0.95300,0.95157,0.95150
,,,,,,,,,,,
878_test,0.92110,0.89900,0.79392,0.84829,0.93400,0.86400,0.89900,0.87290,0.93400,0.90242,0.89900
878_train,0.92523,0.90350,0.80310,0.85405,0.93800,0.86900,0.90350,0.87746,0.93800,0.90672,0.90350
,,,,,,,,,,,
1084_test,0.92100,0.92100,0.83881,0.88774,0.92100,0.92100,0.92100,0.92100,0.92100,0.92100,0.92100
1084_train,0.95819,0.95850,0.91532,0.93968,0.95800,0.95900,0.95850,0.95896,0.95800,0.95848,0.95850
,,,,,,,,,,,
1754_test,0.92067,0.87550,0.74597,0.81111,0.94700,0.80400,0.87550,0.82852,0.94700,0.88381,0.87550
1754_train,0.93768,0.89050,0.77658,0.82774,0.96600,0.81500,0.89050,0.83927,0.96600,0.89819,0.89050
,,,,,,,,,,,
4_test,0.92040,0.91250,0.82147,0.87226,0.92500,0.90000,0.91250,0.90244,0.92500,0.91358,0.91250
4_train,0.96392,0.95900,0.91634,0.93686,0.96700,0.95100,0.95900,0.95177,0.96700,0.95933,0.95900
,,,,,,,,,,,
240_test,0.92025,0.90350,0.80310,0.85637,0.93000,0.87700,0.90350,0.88319,0.93000,0.90599,0.90350
240_train,0.95508,0.94550,0.88880,0.91525,0.96100,0.93000,0.94550,0.93210,0.96100,0.94633,0.94550
,,,,,,,,,,,
2944_test,0.92024,0.91550,0.82759,0.87784,0.92300,0.90800,0.91550,0.90936,0.92300,0.91613,0.91550
2944_train,0.97083,0.96900,0.93675,0.95315,0.97200,0.96600,0.96900,0.96620,0.97200,0.96909,0.96900
,,,,,,,,,,,
1096_test,0.92011,0.91000,0.81636,0.86789,0.92600,0.89400,0.91000,0.89729,0.92600,0.91142,0.91000
1096_train,0.96372,0.95850,0.91532,0.93596,0.96700,0.95000,0.95850,0.95084,0.96700,0.95885,0.95850
,,,,,,,,,,,
1730_test,0.91992,0.84250,0.67864,0.76547,0.96500,0.72000,0.84250,0.77510,0.96500,0.85969,0.84250
1730_train,0.95934,0.90850,0.81330,0.84749,0.99100,0.82600,0.90850,0.85064,0.99100,0.91547,0.90850
,,,,,,,,,,,
1712_test,0.91957,0.81400,0.62049,0.73091,0.98100,0.64700,0.81400,0.73538,0.98100,0.84062,0.81400
1712_train,0.95002,0.87500,0.74495,0.80072,0.99600,0.75400,0.87500,0.80193,0.99600,0.88849,0.87500
,,,,,,,,,,,
244_test,0.91896,0.91200,0.82044,0.87209,0.92300,0.90100,0.91200,0.90313,0.92300,0.91296,0.91200
244_train,0.96726,0.96450,0.92757,0.94609,0.96900,0.96000,0.96450,0.96036,0.96900,0.96466,0.96450
,,,,,,,,,,,
184_test,0.91884,0.92200,0.84085,0.89088,0.91700,0.92700,0.92200,0.92626,0.91700,0.92161,0.92200
184_train,0.95896,0.96050,0.91940,0.94338,0.95800,0.96300,0.96050,0.96281,0.95800,0.96040,0.96050
,,,,,,,,,,,
1720_test,0.91882,0.91850,0.83371,0.88422,0.91900,0.91800,0.91850,0.91808,0.91900,0.91854,0.91850
1720_train,0.95800,0.95800,0.91430,0.93876,0.95800,0.95800,0.95800,0.95800,0.95800,0.95800,0.95800
,,,,,,,,,,,
2928_test,0.91861,0.91450,0.82555,0.87686,0.92100,0.90800,0.91450,0.90918,0.92100,0.91505,0.91450
2928_train,0.96922,0.96800,0.93471,0.95215,0.97000,0.96600,0.96800,0.96614,0.97000,0.96806,0.96800
,,,,,,,,,,,
2896_test,0.91845,0.91750,0.83167,0.88253,0.91900,0.91600,0.91750,0.91625,0.91900,0.91762,0.91750
2896_train,0.95942,0.95850,0.91532,0.93884,0.96000,0.95700,0.95850,0.95713,0.96000,0.95856,0.95850
,,,,,,,,,,,
204_test,0.91782,0.91750,0.83167,0.88288,0.91800,0.91700,0.91750,0.91708,0.91800,0.91754,0.91750
204_train,0.96238,0.96300,0.92451,0.94630,0.96200,0.96400,0.96300,0.96393,0.96200,0.96296,0.96300
,,,,,,,,,,,
828_test,0.91692,0.91850,0.83371,0.88527,0.91600,0.92100,0.91850,0.92060,0.91600,0.91830,0.91850
828_train,0.96319,0.96350,0.92553,0.94680,0.96300,0.96400,0.96350,0.96396,0.96300,0.96348,0.96350
,,,,,,,,,,,
1992_test,0.91690,0.91500,0.82657,0.87870,0.91800,0.91200,0.91500,0.91252,0.91800,0.91525,0.91500
1992_train,0.95804,0.95650,0.91124,0.93561,0.95900,0.95400,0.95650,0.95423,0.95900,0.95661,0.95650
,,,,,,,,,,,
2028_test,0.91682,0.91650,0.82963,0.88155,0.91700,0.91600,0.91650,0.91608,0.91700,0.91654,0.91650
2028_train,0.95919,0.95950,0.91736,0.94110,0.95900,0.96000,0.95950,0.95996,0.95900,0.95948,0.95950
,,,,,,,,,,,
252_test,0.91678,0.90950,0.81534,0.86867,0.92100,0.89800,0.90950,0.90029,0.92100,0.91053,0.90950
252_train,0.96188,0.95850,0.91532,0.93718,0.96400,0.95300,0.95850,0.95351,0.96400,0.95873,0.95850
,,,,,,,,,,,
2892_test,0.91675,0.92150,0.83983,0.89112,0.91400,0.92900,0.92150,0.92792,0.91400,0.92091,0.92150
2892_train,0.95448,0.95850,0.91532,0.94224,0.95200,0.96500,0.95850,0.96454,0.95200,0.95823,0.95850
,,,,,,,,,,,
796_test,0.91635,0.91350,0.82351,0.87621,0.91800,0.90900,0.91350,0.90981,0.91800,0.91389,0.91350
796_train,0.96584,0.96400,0.92655,0.94601,0.96700,0.96100,0.96400,0.96123,0.96700,0.96411,0.96400
,,,,,,,,,,,
964_test,0.91624,0.90800,0.81228,0.86625,0.92100,0.89500,0.90800,0.89766,0.92100,0.90918,0.90800
964_train,0.96851,0.96300,0.92451,0.94208,0.97200,0.95400,0.96300,0.95481,0.97200,0.96333,0.96300
,,,,,,,,,,,
2044_test,0.91577,0.90500,0.80616,0.86113,0.92200,0.88800,0.90500,0.89168,0.92200,0.90659,0.90500
2044_train,0.96069,0.95700,0.91226,0.93487,0.96300,0.95100,0.95700,0.95158,0.96300,0.95726,0.95700
,,,,,,,,,,,
2038_test,0.91557,0.81100,0.61436,0.72822,0.97600,0.64600,0.81100,0.73383,0.97600,0.83777,0.81100
2038_train,0.93443,0.84300,0.67966,0.76256,0.98900,0.69700,0.84300,0.76548,0.98900,0.86300,0.84300
,,,,,,,,,,,
852_test,0.91554,0.91300,0.82249,0.87572,0.91700,0.90900,0.91300,0.90972,0.91700,0.91335,0.91300
852_train,0.96542,0.96450,0.92757,0.94736,0.96600,0.96300,0.96450,0.96311,0.96600,0.96455,0.96450
,,,,,,,,,,,
2096_test,0.91540,0.90050,0.79698,0.85345,0.92400,0.87700,0.90050,0.88252,0.92400,0.90278,0.90050
2096_train,0.89663,0.87450,0.74393,0.81845,0.90900,0.84000,0.87450,0.85033,0.90900,0.87869,0.87450
,,,,,,,,,,,
1752_test,0.91535,0.91250,0.82147,0.87489,0.91700,0.90800,0.91250,0.90882,0.91700,0.91289,0.91250
1752_train,0.95743,0.95650,0.91124,0.93602,0.95800,0.95500,0.95650,0.95513,0.95800,0.95657,0.95650
,,,,,,,,,,,
2628_test,0.91516,0.90850,0.81330,0.86769,0.91900,0.89800,0.90850,0.90010,0.91900,0.90945,0.90850
2628_train,0.96365,0.96150,0.92144,0.94225,0.96500,0.95800,0.96150,0.95829,0.96500,0.96163,0.96150
,,,,,,,,,,,
2020_test,0.91516,0.90850,0.81330,0.86769,0.91900,0.89800,0.90850,0.90010,0.91900,0.90945,0.90850
2020_train,0.96273,0.95750,0.91328,0.93456,0.96600,0.94900,0.95750,0.94985,0.96600,0.95786,0.95750
,,,,,,,,,,,
2952_test,0.91507,0.91000,0.81636,0.87045,0.91800,0.90200,0.91000,0.90354,0.91800,0.91071,0.91000
2952_train,0.97464,0.97250,0.94389,0.95795,0.97600,0.96900,0.97250,0.96922,0.97600,0.97260,0.97250
,,,,,,,,,,,
68_test,0.91502,0.89600,0.78780,0.84594,0.92600,0.86600,0.89600,0.87358,0.92600,0.89903,0.89600
68_train,0.95920,0.95150,0.90104,0.92463,0.96400,0.93900,0.95150,0.94049,0.96400,0.95210,0.95150
,,,,,,,,,,,
2592_test,0.91500,0.91500,0.82657,0.87973,0.91500,0.91500,0.91500,0.91500,0.91500,0.91500,0.91500
2592_train,0.96600,0.96600,0.93063,0.95016,0.96600,0.96600,0.96600,0.96600,0.96600,0.96600,0.96600
,,,,,,,,,,,
792_test,0.91482,0.91450,0.82555,0.87889,0.91500,0.91400,0.91450,0.91409,0.91500,0.91454,0.91450
792_train,0.96758,0.96850,0.93573,0.95440,0.96700,0.97000,0.96850,0.96991,0.96700,0.96845,0.96850
,,,,,,,,,,,
784_test,0.91482,0.91450,0.82555,0.87889,0.91500,0.91400,0.91450,0.91409,0.91500,0.91454,0.91450
784_train,0.96661,0.96600,0.93063,0.94972,0.96700,0.96500,0.96600,0.96507,0.96700,0.96603,0.96600
,,,,,,,,,,,
1092_test,0.91456,0.91900,0.83473,0.88755,0.91200,0.92600,0.91900,0.92495,0.91200,0.91843,0.91900
1092_train,0.95414,0.95600,0.91022,0.93719,0.95300,0.95900,0.95600,0.95875,0.95300,0.95587,0.95600
,,,,,,,,,,,
228_test,0.91445,0.91350,0.82351,0.87722,0.91500,0.91200,0.91350,0.91226,0.91500,0.91363,0.91350
228_train,0.96842,0.96750,0.93369,0.95165,0.96900,0.96600,0.96750,0.96610,0.96900,0.96755,0.96750
,,,,,,,,,,,
