model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
853_test,0.87183,0.87150,0.73781,0.82362,0.87200,0.87100,0.87150,0.87113,0.87200,0.87156,0.87150
853_train,0.86665,0.86600,0.72659,0.81669,0.86700,0.86500,0.86600,0.86527,0.86700,0.86613,0.86600
,,,,,,,,,,,
695_test,0.87140,0.68900,0.36544,0.61740,0.96900,0.40900,0.68900,0.62115,0.96900,0.75703,0.68900
695_train,0.89120,0.73450,0.45827,0.65423,0.97800,0.49100,0.73450,0.65770,0.97800,0.78649,0.73450
,,,,,,,,,,,
1651_test,0.87099,0.86350,0.72149,0.81091,0.87500,0.85200,0.86350,0.85533,0.87500,0.86505,0.86350
1651_train,0.88686,0.87750,0.75005,0.82724,0.89200,0.86300,0.87750,0.86686,0.89200,0.87925,0.87750
,,,,,,,,,,,
1669_test,0.87060,0.85300,0.70006,0.79472,0.88000,0.82600,0.85300,0.83491,0.88000,0.85686,0.85300
1669_train,0.88119,0.86500,0.72455,0.80938,0.89000,0.84000,0.86500,0.84762,0.89000,0.86829,0.86500
,,,,,,,,,,,
895_test,0.87000,0.87000,0.73475,0.82190,0.87000,0.87000,0.87000,0.87000,0.87000,0.87000,0.87000
895_train,0.86783,0.86750,0.72965,0.81867,0.86800,0.86700,0.86750,0.86713,0.86800,0.86757,0.86750
,,,,,,,,,,,
1731_test,0.86993,0.74800,0.48582,0.66876,0.93500,0.56100,0.74800,0.68049,0.93500,0.78770,0.74800
1731_train,0.92381,0.84500,0.68374,0.76772,0.97000,0.72000,0.84500,0.77600,0.97000,0.86222,0.84500
,,,,,,,,,,,
1537_test,0.86987,0.85650,0.70720,0.80034,0.87700,0.83600,0.85650,0.84246,0.87700,0.85938,0.85650
1537_train,0.87792,0.86300,0.72047,0.80747,0.88600,0.84000,0.86300,0.84704,0.88600,0.86608,0.86300
,,,,,,,,,,,
1111_test,0.86964,0.71150,0.41134,0.63587,0.95400,0.46900,0.71150,0.64242,0.95400,0.76781,0.71150
1111_train,0.93095,0.82300,0.63885,0.73913,0.99500,0.65100,0.82300,0.74033,0.99500,0.84898,0.82300
,,,,,,,,,,,
1661_test,0.86930,0.86800,0.73067,0.81888,0.87000,0.86600,0.86800,0.86653,0.87000,0.86826,0.86800
1661_train,0.84517,0.84550,0.68476,0.79224,0.84500,0.84600,0.84550,0.84585,0.84500,0.84542,0.84550
,,,,,,,,,,,
1073_test,0.86864,0.82100,0.63477,0.75041,0.89400,0.74800,0.82100,0.78010,0.89400,0.83318,0.82100
1073_train,0.88571,0.83050,0.65415,0.75853,0.91600,0.74500,0.83050,0.78224,0.91600,0.84385,0.83050
,,,,,,,,,,,
653_test,0.86857,0.86400,0.72251,0.81267,0.87100,0.85700,0.86400,0.85897,0.87100,0.86495,0.86400
653_train,0.86406,0.85850,0.71128,0.80562,0.86700,0.85000,0.85850,0.85251,0.86700,0.85969,0.85850
,,,,,,,,,,,
