model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_151,0.86448,0.86350,0.72149,0.81349,0.86500,0.86200,0.8639642079067851,0.86350,0.86241,0.86500,0.86370,0.86350
model_1503,0.86410,0.86050,0.71536,0.80880,0.86600,0.85500,0.9663286732660757,0.86050,0.85658,0.86600,0.86126,0.86050
model_1793,0.86399,0.85450,0.70312,0.79938,0.86900,0.84000,0.8358707427978516,0.85450,0.84451,0.86900,0.85658,0.85450
model_1785,0.86390,0.86750,0.72965,0.82031,0.86200,0.87300,0.8118974082874801,0.86750,0.87159,0.86200,0.86677,0.86750
model_1707,0.86341,0.82250,0.63783,0.75370,0.88500,0.76000,nan,0.82250,0.78667,0.88500,0.83294,0.82250
model_101,0.86298,0.83450,0.66231,0.77018,0.87800,0.79100,0.8242625056401544,0.83450,0.80773,0.87800,0.84140,0.83450
model_271,0.86276,0.86800,0.73067,0.82163,0.86000,0.87600,nan,0.86800,0.87398,0.86000,0.86694,0.86800
model_1047,0.86179,0.85950,0.71332,0.80809,0.86300,0.85600,0.843986883456937,0.85950,0.85700,0.86300,0.85999,0.85950
model_1001,0.86166,0.84200,0.67762,0.78134,0.87200,0.81200,0.8440514486768972,0.84200,0.82264,0.87200,0.84660,0.84200
model_45,0.86081,0.79000,0.57152,0.71416,0.89800,0.68200,0.8273088877378072,0.79000,0.73849,0.89800,0.81047,0.79000
model_1129,0.86013,0.74600,0.48174,0.66789,0.92000,0.57200,nan,0.74600,0.68249,0.92000,0.78365,0.74600
model_1765,0.86003,0.86200,0.71842,0.81284,0.85900,0.86500,nan,0.86200,0.86419,0.85900,0.86158,0.86200
model_295,0.85970,0.85150,0.69700,0.79629,0.86400,0.83900,nan,0.85150,0.84293,0.86400,0.85333,0.85150
model_1561,0.85945,0.85650,0.70720,0.80421,0.86100,0.85200,0.9738774972102221,0.85650,0.85332,0.86100,0.85714,0.85650
model_961,0.85917,0.85950,0.71332,0.80912,0.85900,0.86000,0.9712230258548634,0.85950,0.85986,0.85900,0.85943,0.85950
model_1677,0.85917,0.85950,0.71332,0.80912,0.85900,0.86000,0.8586739434136285,0.85950,0.85986,0.85900,0.85943,0.85950
model_829,0.85909,0.67400,0.33483,0.60636,0.95600,0.39200,nan,0.67400,0.61125,0.95600,0.74571,0.67400
model_1059,0.85894,0.85500,0.70414,0.80203,0.86100,0.84900,0.8679972167672783,0.85500,0.85079,0.86100,0.85586,0.85500
model_117,0.85889,0.86250,0.71945,0.81412,0.85700,0.86800,nan,0.86250,0.86653,0.85700,0.86174,0.86250
model_943,0.85774,0.70600,0.40012,0.63203,0.93700,0.47500,0.8291543792994296,0.70600,0.64090,0.93700,0.76117,0.70600
model_603,0.85769,0.85900,0.71230,0.80890,0.85700,0.86100,0.9626684504810725,0.85900,0.86044,0.85700,0.85872,0.85900
model_167,0.85709,0.85150,0.69700,0.79724,0.86000,0.84300,0.8578550243126056,0.85150,0.84562,0.86000,0.85275,0.85150
model_957,0.85660,0.86350,0.72149,0.81672,0.85300,0.87400,nan,0.86350,0.87130,0.85300,0.86205,0.86350
model_1603,0.85643,0.59050,0.16446,0.54978,0.99500,0.18600,0.8864109225066031,0.59050,0.55003,0.99500,0.70844,0.59050
model_763,0.85585,0.83250,0.65823,0.76948,0.86800,0.79700,0.8324643576268068,0.83250,0.81046,0.86800,0.83824,0.83250
model_1069,0.85551,0.85650,0.70720,0.80572,0.85500,0.85800,0.8253420573823592,0.85650,0.85757,0.85500,0.85628,0.85650
model_849,0.85546,0.85250,0.69904,0.79940,0.85700,0.84800,0.972478923100002,0.85250,0.84936,0.85700,0.85316,0.85250
model_237,0.85478,0.78700,0.56539,0.71180,0.89000,0.68400,nan,0.78700,0.73798,0.89000,0.80689,0.78700
model_697,0.85458,0.71900,0.42665,0.64347,0.92500,0.51300,0.8405580072789579,0.71900,0.65510,0.92500,0.76700,0.71900
model_211,0.85402,0.82900,0.65109,0.76510,0.86700,0.79100,nan,0.82900,0.80576,0.86700,0.83526,0.82900
model_461,0.85387,0.81700,0.62661,0.74887,0.87300,0.76100,0.9025073046586951,0.81700,0.78507,0.87300,0.82670,0.81700
model_1729,0.85359,0.76600,0.52255,0.68889,0.89900,0.63300,nan,0.76600,0.71011,0.89900,0.79347,0.76600
model_505,0.85309,0.65250,0.29096,0.59070,0.95700,0.34800,nan,0.65250,0.59478,0.95700,0.73361,0.65250
model_61,0.85302,0.85500,0.70414,0.80429,0.85200,0.85800,0.969409203612238,0.85500,0.85714,0.85200,0.85456,0.85500
model_133,0.85286,0.84100,0.67558,0.78274,0.85900,0.82300,0.8705828817267167,0.84100,0.82915,0.85900,0.84381,0.84100
model_1695,0.85273,0.85800,0.71026,0.80925,0.85000,0.86600,nan,0.85800,0.86382,0.85000,0.85685,0.85800
model_75,0.85219,0.57800,0.13895,0.54232,0.99400,0.16200,0.8642391223235418,0.57800,0.54258,0.99400,0.70198,0.57800
model_837,0.85141,0.67600,0.33891,0.60822,0.94200,0.41000,nan,0.67600,0.61488,0.94200,0.74408,0.67600
model_1509,0.85019,0.85250,0.69904,0.80138,0.84900,0.85600,0.9712610132857781,0.85250,0.85498,0.84900,0.85198,0.85250
