model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
357_test,0.87125,0.69600,0.37972,0.62298,0.96500,0.42700,0.69600,0.62744,0.96500,0.76044,0.69600
357_train,0.87507,0.68950,0.36646,0.61761,0.97500,0.40400,0.68950,0.62062,0.97500,0.75846,0.68950
,,,,,,,,,,,
353_test,0.86924,0.75150,0.49296,0.67222,0.93200,0.57100,0.75150,0.68479,0.93200,0.78950,0.75150
353_train,0.83542,0.77050,0.53173,0.69648,0.86800,0.67300,0.77050,0.72636,0.86800,0.79089,0.77050
,,,,,,,,,,,
395_test,0.86639,0.66350,0.31341,0.59824,0.97400,0.35300,0.66350,0.60086,0.97400,0.74323,0.66350
395_train,0.86624,0.66300,0.31239,0.59788,0.97400,0.35200,0.66300,0.60049,0.97400,0.74294,0.66300
,,,,,,,,,,,
473_test,0.86383,0.80100,0.59396,0.72651,0.89700,0.70500,0.80100,0.75252,0.89700,0.81843,0.80100
473_train,0.82301,0.79450,0.58070,0.72719,0.83700,0.75200,0.79450,0.77143,0.83700,0.80288,0.79450
,,,,,,,,,,,
1313_test,0.85921,0.59800,0.17976,0.55435,0.99600,0.20000,0.59800,0.55457,0.99600,0.71245,0.59800
1313_train,0.86144,0.61500,0.21445,0.56505,0.99100,0.23900,0.61500,0.56564,0.99100,0.72020,0.61500
,,,,,,,,,,,
1405_test,0.85198,0.58500,0.15323,0.54649,0.99000,0.18000,0.58500,0.54696,0.99000,0.70463,0.58500
1405_train,0.86375,0.61700,0.21853,0.56630,0.99400,0.24000,0.61700,0.56670,0.99400,0.72186,0.61700
,,,,,,,,,,,
355_test,0.84926,0.66900,0.32463,0.60297,0.94200,0.39600,0.66900,0.60931,0.94200,0.73998,0.66900
355_train,0.89191,0.73850,0.46644,0.65776,0.97700,0.50000,0.73850,0.66148,0.97700,0.78886,0.73850
,,,,,,,,,,,
977_test,0.84659,0.69150,0.37054,0.62071,0.92600,0.45700,0.69150,0.63036,0.92600,0.75010,0.69150
977_train,0.91336,0.77500,0.54091,0.69016,0.99300,0.55700,0.77500,0.69150,0.99300,0.81527,0.77500
,,,,,,,,,,,
553_test,0.83969,0.80350,0.59906,0.73481,0.85800,0.74900,0.80350,0.77367,0.85800,0.81366,0.80350
553_train,0.93092,0.90550,0.80718,0.85486,0.94600,0.86500,0.90550,0.87512,0.94600,0.90918,0.90550
,,,,,,,,,,,
557_test,0.83895,0.72400,0.43685,0.64928,0.89700,0.55100,0.72400,0.66642,0.89700,0.76471,0.72400
557_train,0.92979,0.83150,0.65619,0.74945,0.98800,0.67500,0.83150,0.75248,0.98800,0.85430,0.83150
,,,,,,,,,,,
1465_test,0.83865,0.62600,0.23689,0.57268,0.94600,0.30600,0.62600,0.57683,0.94600,0.71667,0.62600
1465_train,0.83892,0.61700,0.21853,0.56671,0.95100,0.28300,0.61700,0.57014,0.95100,0.71289,0.61700
,,,,,,,,,,,
927_test,0.83824,0.52550,0.03183,0.51309,0.99600,0.05500,0.52550,0.51314,0.99600,0.67732,0.52550
927_train,0.83221,0.51600,0.01245,0.50813,0.99000,0.04200,0.51600,0.50821,0.99000,0.67164,0.51600
,,,,,,,,,,,
999_test,0.83653,0.68050,0.34809,0.61243,0.91500,0.44600,0.68050,0.62287,0.91500,0.74119,0.68050
999_train,0.90766,0.78600,0.56335,0.70219,0.97700,0.59500,0.78600,0.70695,0.97700,0.82032,0.78600
,,,,,,,,,,,
679_test,0.83641,0.51500,0.01041,0.50761,0.99800,0.03200,0.51500,0.50763,0.99800,0.67296,0.51500
679_train,0.83710,0.51350,0.00735,0.50684,1.00000,0.02700,0.51350,0.50684,1.00000,0.67272,0.51350
,,,,,,,,,,,
867_test,0.83621,0.66550,0.31749,0.60085,0.92200,0.40900,0.66550,0.60939,0.92200,0.73378,0.66550
867_train,0.83516,0.67800,0.34299,0.61052,0.91400,0.44200,0.67800,0.62092,0.91400,0.73948,0.67800
,,,,,,,,,,,
685_test,0.83591,0.56100,0.10426,0.53254,0.97400,0.14800,0.56100,0.53341,0.97400,0.68931,0.56100
