model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
996_test,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.50050,0.50025,1.00000,0.66689,0.50050
996_train,0.83361,0.50100,-0.01816,0.50050,1.00000,0.00200,0.50100,0.50050,1.00000,0.66711,0.50100
,,,,,,,,,,,
1006_test,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.50050,0.50025,1.00000,0.66689,0.50050
1006_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
682_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
682_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1620_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1620_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
112_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
112_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1596_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1596_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1612_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1612_train,0.83347,0.50050,-0.01918,0.50025,1.00000,0.00100,0.50050,0.50025,1.00000,0.66689,0.50050
,,,,,,,,,,,
690_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
690_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
986_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
986_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
120_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
120_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
714_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
714_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1598_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1598_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1012_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1012_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
716_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
716_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
1016_test,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
1016_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
720_test,0.83264,0.49950,-0.02122,0.49975,0.99900,0.00000,0.49950,0.49975,0.99900,0.66622,0.49950
720_train,0.83333,0.50000,-0.02020,0.50000,1.00000,0.00000,0.50000,0.50000,1.00000,0.66667,0.50000
,,,,,,,,,,,
686_test,0.83139,0.49900,-0.02224,0.49950,0.99700,0.00100,0.49900,0.49950,0.99700,0.66555,0.49900
686_train,0.83417,0.50300,-0.01408,0.50150,1.00000,0.00600,0.50300,0.50150,1.00000,0.66800,0.50300
,,,,,,,,,,,
626_test,0.83097,0.49950,-0.02122,0.49975,0.99600,0.00300,0.49950,0.49975,0.99600,0.66555,0.49950
626_train,0.83445,0.50400,-0.01204,0.50201,1.00000,0.00800,0.50400,0.50201,1.00000,0.66845,0.50400
,,,,,,,,,,,
628_test,0.83096,0.50350,-0.01306,0.50176,0.99400,0.01300,0.50350,0.50177,0.99400,0.66689,0.50350
628_train,0.83000,0.49800,-0.02428,0.49900,0.99500,0.00100,0.49800,0.49900,0.99500,0.66466,0.49800
,,,,,,,,,,,
1586_test,0.83013,0.67550,0.33789,0.60880,0.90700,0.44400,0.67550,0.61996,0.90700,0.73650,0.67550
1586_train,0.88619,0.74450,0.47868,0.66379,0.96400,0.52500,0.74450,0.66991,0.96400,0.79049,0.74450
,,,,,,,,,,,
1008_test,0.82969,0.51300,0.00633,0.50659,0.98700,0.03900,0.51300,0.50667,0.98700,0.66961,0.51300
1008_train,0.83668,0.51200,0.00428,0.50607,1.00000,0.02400,0.51200,0.50607,1.00000,0.67204,0.51200
,,,,,,,,,,,
1580_test,0.82899,0.51050,0.00122,0.50531,0.98700,0.03400,0.51050,0.50538,0.98700,0.66847,0.51050
1580_train,0.84189,0.53050,0.04203,0.51573,1.00000,0.06100,0.53050,0.51573,1.00000,0.68050,0.53050
,,,,,,,,,,,
976_test,0.82685,0.52100,0.02265,0.51073,0.97800,0.06400,0.52100,0.51097,0.97800,0.67124,0.52100
976_train,0.84445,0.53950,0.06040,0.52056,1.00000,0.07900,0.53950,0.52056,1.00000,0.68470,0.53950
,,,,,,,,,,,
380_test,0.82625,0.80650,0.60518,0.74196,0.83600,0.77700,0.80650,0.78942,0.83600,0.81204,0.80650
380_train,0.97924,0.97650,0.95205,0.96328,0.98100,0.97200,0.97650,0.97225,0.98100,0.97661,0.97650
,,,,,,,,,,,
82_test,0.82526,0.52950,0.03999,0.51521,0.97100,0.08800,0.52950,0.51567,0.97100,0.67360,0.52950
82_train,0.85103,0.57400,0.13079,0.53998,0.99400,0.15400,0.57400,0.54022,0.99400,0.70000,0.57400
,,,,,,,,,,,
984_test,0.82507,0.50650,-0.00694,0.50327,0.98200,0.03100,0.50650,0.50333,0.98200,0.66554,0.50650
984_train,0.83794,0.51650,0.01347,0.50839,1.00000,0.03300,0.51650,0.50839,1.00000,0.67408,0.51650
,,,,,,,,,,,
410_test,0.82478,0.70450,0.39706,0.63302,0.88400,0.52500,0.70450,0.65048,0.88400,0.74947,0.70450
410_train,0.90343,0.80700,0.60620,0.72589,0.95800,0.65600,0.80700,0.73579,0.95800,0.83232,0.80700
,,,,,,,,,,,
1590_test,0.82453,0.59600,0.17568,0.55348,0.93700,0.25500,0.59600,0.55707,0.93700,0.69873,0.59600
1590_train,0.86469,0.64850,0.28280,0.58753,0.97900,0.31800,0.64850,0.58940,0.97900,0.73581,0.64850
,,,,,,,,,,,
386_test,0.82358,0.78200,0.55519,0.71175,0.84400,0.72000,0.78200,0.75089,0.84400,0.79473,0.78200
386_train,0.93308,0.90300,0.80208,0.84968,0.95100,0.85500,0.90300,0.86770,0.95100,0.90744,0.90300
,,,,,,,,,,,
1134_test,0.82255,0.65850,0.30320,0.59612,0.90300,0.41400,0.65850,0.60645,0.90300,0.72559,0.65850
1134_train,0.94004,0.85050,0.69496,0.77070,0.99400,0.70700,0.85050,0.77234,0.99400,0.86926,0.85050
,,,,,,,,,,,
502_test,0.82236,0.76800,0.52663,0.69581,0.84900,0.68700,0.76800,0.73064,0.84900,0.78538,0.76800
502_train,0.98132,0.95550,0.90920,0.91898,0.99800,0.91300,0.95550,0.91982,0.99800,0.95731,0.95550
,,,,,,,,,,,
1404_test,0.82235,0.79450,0.58070,0.72733,0.83600,0.75300,0.79450,0.77193,0.83600,0.80269,0.79450
1404_train,0.97769,0.94450,0.88676,0.90041,0.99900,0.89000,0.94450,0.90081,0.99900,0.94737,0.94450
,,,,,,,,,,,
1298_test,0.82190,0.78700,0.56539,0.71811,0.83900,0.73500,0.78700,0.75996,0.83900,0.79753,0.78700
1298_train,0.97742,0.96250,0.92349,0.93516,0.98700,0.93800,0.96250,0.94090,0.98700,0.96340,0.96250
,,,,,,,,,,,
360_test,0.82179,0.75600,0.50214,0.68280,0.85400,0.65800,0.75600,0.71405,0.85400,0.77778,0.75600
360_train,0.89594,0.82600,0.64497,0.75025,0.93500,0.71700,0.82600,0.76765,0.93500,0.84310,0.82600
,,,,,,,,,,,
638_test,0.82152,0.55900,0.10018,0.53145,0.95000,0.16800,0.55900,0.53311,0.95000,0.68296,0.55900
638_train,0.86207,0.63800,0.26138,0.58031,0.98000,0.29600,0.63800,0.58195,0.98000,0.73025,0.63800
,,,,,,,,,,,
1448_test,0.82141,0.83450,0.66231,0.78368,0.81500,0.85400,0.83450,0.84807,0.81500,0.83121,0.83450
1448_train,0.94429,0.95300,0.90410,0.93762,0.93900,0.96700,0.95300,0.96605,0.93900,0.95233,0.95300
,,,,,,,,,,,
1310_test,0.82139,0.74250,0.47460,0.66887,0.86000,0.62500,0.74250,0.69636,0.86000,0.76957,0.74250
1310_train,0.85734,0.80050,0.59294,0.72723,0.88700,0.71400,0.80050,0.75618,0.88700,0.81638,0.80050
,,,,,,,,,,,
698_test,0.82132,0.56650,0.11549,0.53576,0.94600,0.18700,0.56650,0.53781,0.94600,0.68576,0.56650
698_train,0.88548,0.67850,0.34401,0.60867,0.99900,0.35800,0.67850,0.60878,0.99900,0.75653,0.67850
,,,,,,,,,,,
750_test,0.82108,0.85600,0.70618,0.81945,0.80400,0.90800,0.85600,0.89732,0.80400,0.84810,0.85600
750_train,0.81250,0.85300,0.70006,0.81810,0.79300,0.91300,0.85300,0.90114,0.79300,0.84362,0.85300
,,,,,,,,,,,
1186_test,0.82026,0.67950,0.34605,0.61246,0.88900,0.47000,0.67950,0.62650,0.88900,0.73501,0.67950
1186_train,0.85040,0.76000,0.51030,0.68306,0.89700,0.62300,0.76000,0.70408,0.89700,0.78892,0.76000
,,,,,,,,,,,
472_test,0.82000,0.58850,0.16038,0.54889,0.93300,0.24400,0.58850,0.55240,0.93300,0.69394,0.58850
472_train,0.86847,0.62700,0.23893,0.57277,0.99700,0.25700,0.62700,0.57299,0.99700,0.72774,0.62700
,,,,,,,,,,,
1702_test,0.81913,0.82350,0.63987,0.76778,0.81700,0.83000,0.82350,0.82776,0.81700,0.82235,0.82350
1702_train,0.97780,0.97750,0.95409,0.96653,0.97800,0.97700,0.97750,0.97702,0.97800,0.97751,0.97750
,,,,,,,,,,,
1554_test,0.81826,0.60300,0.18996,0.55797,0.92300,0.28300,0.60300,0.56280,0.92300,0.69924,0.60300
1554_train,0.87876,0.69750,0.38278,0.62377,0.97700,0.41800,0.69750,0.62668,0.97700,0.76358,0.69750
,,,,,,,,,,,
866_test,0.81806,0.68250,0.35217,0.61499,0.88400,0.48100,0.68250,0.63008,0.88400,0.73575,0.68250
866_train,0.77116,0.63700,0.25933,0.58202,0.83100,0.44300,0.63700,0.59870,0.83100,0.69598,0.63700
,,,,,,,,,,,
620_test,0.81801,0.50550,-0.00898,0.50277,0.97000,0.04100,0.50550,0.50285,0.97000,0.66234,0.50550
620_train,0.83914,0.54450,0.07060,0.52330,0.98800,0.10100,0.54450,0.52358,0.98800,0.68445,0.54450
,,,,,,,,,,,
1214_test,0.81775,0.80900,0.61028,0.74756,0.82200,0.79600,0.80900,0.80117,0.82200,0.81145,0.80900
