model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
196,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
64,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1732,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
216,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1104,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1852,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",relu,20
1120,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
664,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1692,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
2064,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,20
704,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
2764,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,20
1128,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
672,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
124,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
972,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
916,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
132,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
2772,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,20
72,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
2904,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,20
676,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
136,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
2824,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",tanh,20
724,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
1872,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,20
1114,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
2004,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,20
732,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
2742,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,20
1744,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
878,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1084,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1754,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
4,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
240,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
2944,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,20
1096,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
1730,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
1712,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
244,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
184,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1720,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
2928,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,20
2896,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,20
204,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
828,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1992,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,20
2028,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,20
252,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
2892,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,20
796,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
964,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
2044,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,20
2038,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,20
852,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
2096,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",swish,20
1752,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
2628,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,20
2020,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,20
2952,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,20
68,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
2592,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,20
792,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
784,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1092,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
228,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1572,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
2016,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,20
1516,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
2922,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,20
1864,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",sigmoid,20
2712,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",relu,20
820,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
1504,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
1684,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,20
248,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
66,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1512,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
2832,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",tanh,20
220,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1110,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,20
604,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
70,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1984,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,20
1032,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
912,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
