model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_1009,0.83055,0.49800,-0.02428,0.49900,0.99600,0.00000,0.8152358591556549,0.49800,0.49900,0.99600,0.66489,0.49800
model_1411,0.82998,0.75950,0.50928,0.68536,0.86500,0.65400,0.80847979336977,0.75950,0.71429,0.86500,0.78245,0.75950
model_175,0.82961,0.77850,0.54805,0.70652,0.85500,0.70200,nan,0.77850,0.74154,0.85500,0.79424,0.77850
model_87,0.82947,0.55250,0.08692,0.52776,0.96700,0.13800,nan,0.55250,0.52870,0.96700,0.68363,0.55250
model_627,0.82885,0.51200,0.00428,0.50607,0.98600,0.03800,0.8189946673701873,0.51200,0.50616,0.98600,0.66893,0.51200
model_1609,0.82874,0.49950,-0.02122,0.49975,0.99200,0.00700,nan,0.49950,0.49975,0.99200,0.66466,0.49950
model_1421,0.82843,0.79500,0.58172,0.72661,0.84500,0.74500,0.9100803296925152,0.79500,0.76818,0.84500,0.80476,0.79500
model_683,0.82839,0.64150,0.26852,0.58359,0.92100,0.36200,0.8722305226153222,0.64150,0.59076,0.92100,0.71981,0.64150
model_73,0.82683,0.52700,0.03489,0.51388,0.97500,0.07900,0.8590350233304551,0.52700,0.51424,0.97500,0.67334,0.52700
model_617,0.82645,0.51350,0.00735,0.50684,0.98100,0.04600,0.8463629321243523,0.51350,0.50698,0.98100,0.66848,0.51350
model_1583,0.82637,0.61650,0.21751,0.56659,0.93000,0.30300,0.8778028473887645,0.61650,0.57160,0.93000,0.70803,0.61650
model_543,0.82625,0.84700,0.68782,0.80187,0.81600,0.87800,0.9676093900157199,0.84700,0.86994,0.81600,0.84211,0.84700
model_645,0.82621,0.66050,0.30728,0.59748,0.90800,0.41300,0.8616969896399457,0.66050,0.60736,0.90800,0.72786,0.66050
model_699,0.82604,0.77750,0.54601,0.70600,0.85000,0.70500,0.8117396235466003,0.77750,0.74236,0.85000,0.79254,0.77750
model_17,0.82563,0.50850,-0.00286,0.50429,0.98200,0.03500,0.8540529570618614,0.50850,0.50437,0.98200,0.66644,0.50850
model_471,0.82562,0.69100,0.36952,0.62152,0.89200,0.49000,nan,0.69100,0.63623,0.89200,0.74271,0.69100
