model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
620_test,0.88488,0.88650,0.76841,0.84338,0.88400,0.88900,0.88650,0.88844,0.88400,0.88622,0.88650
620_train,0.90244,0.90500,0.80616,0.86785,0.90100,0.90900,0.90500,0.90827,0.90100,0.90462,0.90500
,,,,,,,,,,,
964_test,0.88429,0.88300,0.76127,0.83760,0.88500,0.88100,0.88300,0.88147,0.88500,0.88323,0.88300
964_train,0.98840,0.98900,0.97756,0.98410,0.98800,0.99000,0.98900,0.98998,0.98800,0.98899,0.98900
,,,,,,,,,,,
958_test,0.88419,0.84250,0.67864,0.77515,0.90700,0.77800,0.84250,0.80337,0.90700,0.85204,0.84250
958_train,0.88241,0.84650,0.68680,0.78132,0.90200,0.79100,0.84650,0.81188,0.90200,0.85457,0.84650
,,,,,,,,,,,
980_test,0.88353,0.72900,0.44705,0.64998,0.96800,0.49000,0.72900,0.65494,0.96800,0.78128,0.72900
980_train,0.95888,0.89600,0.78780,0.82825,0.99800,0.79400,0.89600,0.82890,0.99800,0.90563,0.89600
,,,,,,,,,,,
740_test,0.88276,0.87500,0.74495,0.82483,0.88700,0.86300,0.87500,0.86621,0.88700,0.87648,0.87500
740_train,0.88112,0.87400,0.74291,0.82386,0.88500,0.86300,0.87400,0.86595,0.88500,0.87537,0.87400
,,,,,,,,,,,
940_test,0.88259,0.86350,0.72149,0.80652,0.89300,0.83400,0.86350,0.84325,0.89300,0.86741,0.86350
940_train,0.90493,0.89600,0.78780,0.85054,0.91000,0.88200,0.89600,0.88521,0.91000,0.89744,0.89600
,,,,,,,,,,,
624_test,0.88219,0.73950,0.46848,0.65956,0.96000,0.51900,0.73950,0.66620,0.96000,0.78656,0.73950
624_train,0.94104,0.85000,0.69394,0.76981,0.99600,0.70400,0.85000,0.77090,0.99600,0.86911,0.85000
,,,,,,,,,,,
972_test,0.88171,0.88300,0.76127,0.83878,0.88100,0.88500,0.88300,0.88454,0.88100,0.88277,0.88300
972_train,0.99400,0.99400,0.98776,0.99104,0.99400,0.99400,0.99400,0.99400,0.99400,0.99400,0.99400
,,,,,,,,,,,
1104_test,0.88153,0.88800,0.77148,0.84762,0.87800,0.89800,0.88800,0.89592,0.87800,0.88687,0.88800
1104_train,0.99179,0.99300,0.98572,0.99053,0.99100,0.99500,0.99300,0.99498,0.99100,0.99299,0.99300
,,,,,,,,,,,
1780_test,0.88127,0.83400,0.66129,0.76434,0.90700,0.76100,0.83400,0.79145,0.90700,0.84529,0.83400
1780_train,0.87815,0.84150,0.67660,0.77553,0.89800,0.78500,0.84150,0.80683,0.89800,0.84998,0.84150
,,,,,,,,,,,
634_test,0.88036,0.87550,0.74597,0.82667,0.88300,0.86800,0.87550,0.86995,0.88300,0.87643,0.87550
634_train,0.87291,0.86900,0.73271,0.81905,0.87500,0.86300,0.86900,0.86462,0.87500,0.86978,0.86900
,,,,,,,,,,,
74_test,0.88026,0.86050,0.71536,0.80274,0.89100,0.83000,0.86050,0.83977,0.89100,0.86463,0.86050
74_train,0.97527,0.97100,0.94083,0.95428,0.97800,0.96400,0.97100,0.96450,0.97800,0.97120,0.97100
,,,,,,,,,,,
858_test,0.88023,0.88250,0.76025,0.83859,0.87900,0.88600,0.88250,0.88520,0.87900,0.88209,0.88250
858_train,0.91183,0.91850,0.83371,0.88815,0.90800,0.92900,0.91850,0.92748,0.90800,0.91764,0.91850
,,,,,,,,,,,
1574_test,0.88022,0.66900,0.32463,0.60179,0.99500,0.34300,0.66900,0.60230,0.99500,0.75038,0.66900
1574_train,0.92234,0.78950,0.57050,0.70373,1.00000,0.57900,0.78950,0.70373,1.00000,0.82610,0.78950
,,,,,,,,,,,
1778_test,0.87927,0.83000,0.65313,0.75953,0.90600,0.75400,0.83000,0.78646,0.90600,0.84201,0.83000
1778_train,0.85717,0.82300,0.63885,0.75600,0.87500,0.77100,0.82300,0.79257,0.87500,0.83175,0.82300
,,,,,,,,,,,
860_test,0.87901,0.87350,0.74189,0.82392,0.88200,0.86500,0.87350,0.86726,0.88200,0.87457,0.87350
860_train,0.89104,0.88750,0.77046,0.84227,0.89300,0.88200,0.88750,0.88328,0.89300,0.88812,0.88750
,,,,,,,,,,,
770_test,0.87882,0.87850,0.75209,0.83237,0.87900,0.87800,0.87850,0.87812,0.87900,0.87856,0.87850
770_train,0.86665,0.86600,0.72659,0.81669,0.86700,0.86500,0.86600,0.86527,0.86700,0.86613,0.86600
,,,,,,,,,,,
118_test,0.87773,0.70350,0.39502,0.62869,0.97200,0.43500,0.70350,0.63240,0.97200,0.76626,0.70350
118_train,0.91211,0.77650,0.54397,0.69183,0.99000,0.56300,0.77650,0.69376,0.99000,0.81582,0.77650
,,,,,,,,,,,
602_test,0.87733,0.88350,0.76229,0.84167,0.87400,0.89300,0.88350,0.89093,0.87400,0.88238,0.88350
602_train,0.98137,0.98350,0.96633,0.97717,0.98000,0.98700,0.98350,0.98691,0.98000,0.98344,0.98350
,,,,,,,,,,,
296_test,0.87623,0.87850,0.75209,0.83352,0.87500,0.88200,0.87850,0.88117,0.87500,0.87807,0.87850
296_train,0.87645,0.88100,0.75719,0.83772,0.87400,0.88800,0.88100,0.88641,0.87400,0.88016,0.88100
,,,,,,,,,,,
776_test,0.87612,0.87450,0.74393,0.82680,0.87700,0.87200,0.87450,0.87264,0.87700,0.87481,0.87450
776_train,0.88511,0.88350,0.76229,0.83809,0.88600,0.88100,0.88350,0.88159,0.88600,0.88379,0.88350
,,,,,,,,,,,
744_test,0.87602,0.87050,0.73577,0.82023,0.87900,0.86200,0.87050,0.86431,0.87900,0.87159,0.87050
744_train,0.90293,0.89750,0.79086,0.85412,0.90600,0.88900,0.89750,0.89086,0.90600,0.89836,0.89750
,,,,,,,,,,,
1076_test,0.87495,0.87300,0.74087,0.82480,0.87600,0.87000,0.87300,0.87078,0.87600,0.87338,0.87300
1076_train,0.87230,0.87100,0.73679,0.82259,0.87300,0.86900,0.87100,0.86952,0.87300,0.87126,0.87100
,,,,,,,,,,,
76_test,0.87493,0.67050,0.32769,0.60310,0.98500,0.35600,0.67050,0.60467,0.98500,0.74933,0.67050
76_train,0.92278,0.79250,0.57662,0.70680,0.99900,0.58600,0.79250,0.70701,0.99900,0.82801,0.79250
,,,,,,,,,,,
610_test,0.87480,0.88000,0.75515,0.83675,0.87200,0.88800,0.88000,0.88618,0.87200,0.87903,0.88000
610_train,0.98379,0.98500,0.96939,0.97867,0.98300,0.98700,0.98500,0.98695,0.98300,0.98497,0.98500
,,,,,,,,,,,
232_test,0.87475,0.87800,0.75107,0.83333,0.87300,0.88300,0.87800,0.88182,0.87300,0.87739,0.87800
232_train,0.98214,0.98700,0.97347,0.98453,0.97900,0.99500,0.98700,0.99492,0.97900,0.98690,0.98700
,,,,,,,,,,,
1670_test,0.87465,0.87400,0.74291,0.82660,0.87500,0.87300,0.87400,0.87325,0.87500,0.87413,0.87400
1670_train,0.86365,0.86300,0.72047,0.81301,0.86400,0.86200,0.86300,0.86228,0.86400,0.86314,0.86300
,,,,,,,,,,,
1772_test,0.87460,0.87200,0.73883,0.82329,0.87600,0.86800,0.87200,0.86905,0.87600,0.87251,0.87200
1772_train,0.86431,0.86300,0.72047,0.81274,0.86500,0.86100,0.86300,0.86155,0.86500,0.86327,0.86300
,,,,,,,,,,,
56_test,0.87452,0.73050,0.45011,0.65207,0.95200,0.50900,0.73050,0.65974,0.95200,0.77937,0.73050
56_train,0.87819,0.75850,0.50724,0.67806,0.94300,0.57400,0.75850,0.68882,0.94300,0.79612,0.75850
,,,,,,,,,,,
778_test,0.87400,0.87400,0.74291,0.82688,0.87400,0.87400,0.87400,0.87400,0.87400,0.87400,0.87400
778_train,0.87265,0.87200,0.73883,0.82411,0.87300,0.87100,0.87200,0.87126,0.87300,0.87213,0.87200
,,,,,,,,,,,
1078_test,0.87348,0.87250,0.73985,0.82459,0.87400,0.87100,0.87250,0.87139,0.87400,0.87269,0.87250
1078_train,0.86683,0.86650,0.72761,0.81744,0.86700,0.86600,0.86650,0.86613,0.86700,0.86657,0.86650
,,,,,,,,,,,
174_test,0.87333,0.84600,0.68578,0.78344,0.88800,0.80400,0.84600,0.81919,0.88800,0.85221,0.84600
174_train,0.90103,0.87800,0.75107,0.82229,0.91400,0.84200,0.87800,0.85261,0.91400,0.88224,0.87800
,,,,,,,,,,,
1046_test,0.87234,0.86550,0.72557,0.81359,0.87600,0.85500,0.86550,0.85798,0.87600,0.86690,0.86550
1046_train,0.88030,0.87350,0.74189,0.82338,0.88400,0.86300,0.87350,0.86582,0.88400,0.87481,0.87350
,,,,,,,,,,,
608_test,0.87221,0.86700,0.72863,0.81607,0.87500,0.85900,0.86700,0.86122,0.87500,0.86806,0.86700
608_train,0.98120,0.98150,0.96225,0.97282,0.98100,0.98200,0.98150,0.98198,0.98100,0.98149,0.98150
,,,,,,,,,,,
1716_test,0.87220,0.78300,0.55723,0.70436,0.92000,0.64600,0.78300,0.72214,0.92000,0.80915,0.78300
1716_train,0.95466,0.91850,0.83371,0.86605,0.97700,0.86000,0.91850,0.87466,0.97700,0.92300,0.91850
,,,,,,,,,,,
1128_test,0.87219,0.88000,0.75515,0.83795,0.86800,0.89200,0.88000,0.88934,0.86800,0.87854,0.88000
1128_train,0.99519,0.99700,0.99388,0.99700,0.99400,1.00000,0.99700,1.00000,0.99400,0.99699,0.99700
,,,,,,,,,,,
1092_test,0.87188,0.88100,0.75719,0.83984,0.86700,0.89500,0.88100,0.89198,0.86700,0.87931,0.88100
1092_train,0.98497,0.98800,0.97552,0.98455,0.98300,0.99300,0.98800,0.99293,0.98300,0.98794,0.98800
,,,,,,,,,,,
1506_test,0.87171,0.88050,0.75617,0.83905,0.86700,0.89400,0.88050,0.89106,0.86700,0.87886,0.88050
1506_train,0.97915,0.98250,0.96429,0.97665,0.97700,0.98800,0.98250,0.98787,0.97700,0.98240,0.98250
,,,,,,,,,,,
1504_test,0.87148,0.87050,0.73577,0.82211,0.87200,0.86900,0.87050,0.86939,0.87200,0.87069,0.87050
1504_train,0.98600,0.98600,0.97143,0.97920,0.98600,0.98600,0.98600,0.98600,0.98600,0.98600,0.98600
,,,,,,,,,,,
228_test,0.87130,0.87000,0.73475,0.82135,0.87200,0.86800,0.87000,0.86853,0.87200,0.87026,0.87000
228_train,0.99520,0.99550,0.99082,0.99352,0.99500,0.99600,0.99550,0.99600,0.99500,0.99550,0.99550
,,,,,,,,,,,
806_test,0.87125,0.73900,0.46746,0.66013,0.94200,0.53600,0.73900,0.66999,0.94200,0.78304,0.73900
806_train,0.96210,0.91750,0.83167,0.86098,0.99000,0.84500,0.91750,0.86463,0.99000,0.92308,0.91750
,,,,,,,,,,,
1084_test,0.87114,0.88450,0.76433,0.84641,0.86400,0.90500,0.88450,0.90094,0.86400,0.88208,0.88450
1084_train,0.98377,0.98650,0.97245,0.98208,0.98200,0.99100,0.98650,0.99092,0.98200,0.98644,0.98650
,,,,,,,,,,,
1564_test,0.87052,0.87150,0.73781,0.82418,0.87000,0.87300,0.87150,0.87262,0.87000,0.87131,0.87150
1564_train,0.99320,0.99350,0.98674,0.99054,0.99300,0.99400,0.99350,0.99399,0.99300,0.99350,0.99350
,,,,,,,,,,,
606_test,0.87039,0.87300,0.74087,0.82675,0.86900,0.87700,0.87300,0.87601,0.86900,0.87249,0.87300
606_train,0.98096,0.98400,0.96735,0.97862,0.97900,0.98900,0.98400,0.98889,0.97900,0.98392,0.98400
,,,,,,,,,,,
1050_test,0.87034,0.86350,0.72149,0.81116,0.87400,0.85300,0.86350,0.85602,0.87400,0.86492,0.86350
1050_train,0.85629,0.85300,0.70006,0.79988,0.85800,0.84800,0.85300,0.84950,0.85800,0.85373,0.85300
,,,,,,,,,,,
1748_test,0.87026,0.87450,0.74393,0.82935,0.86800,0.88100,0.87450,0.87943,0.86800,0.87368,0.87450
1748_train,0.98920,0.98950,0.97858,0.98460,0.98900,0.99000,0.98950,0.98999,0.98900,0.98949,0.98950
,,,,,,,,,,,
852_test,0.87004,0.87200,0.73883,0.82522,0.86900,0.87500,0.87200,0.87425,0.86900,0.87161,0.87200
852_train,0.99360,0.99450,0.98878,0.99252,0.99300,0.99600,0.99450,0.99599,0.99300,0.99449,0.99450
,,,,,,,,,,,
1006_test,0.86964,0.65150,0.28892,0.58950,0.98600,0.31700,0.65150,0.59077,0.98600,0.73885,0.65150
1006_train,0.92644,0.80150,0.59498,0.71582,1.00000,0.60300,0.80150,0.71582,1.00000,0.83438,0.80150
,,,,,,,,,,,
1796_test,0.86909,0.87300,0.74087,0.82732,0.86700,0.87900,0.87300,0.87753,0.86700,0.87223,0.87300
1796_train,0.86560,0.87050,0.73577,0.82461,0.86300,0.87800,0.87050,0.87614,0.86300,0.86952,0.87050
,,,,,,,,,,,
1512_test,0.86900,0.87650,0.74801,0.83334,0.86500,0.88800,0.87650,0.88536,0.86500,0.87506,0.87650
1512_train,0.98679,0.98800,0.97552,0.98310,0.98600,0.99000,0.98800,0.98996,0.98600,0.98798,0.98800
,,,,,,,,,,,
1562_test,0.86891,0.86500,0.72455,0.81415,0.87100,0.85900,0.86500,0.86067,0.87100,0.86581,0.86500
1562_train,0.99041,0.98950,0.97858,0.98364,0.99100,0.98800,0.98950,0.98804,0.99100,0.98952,0.98950
,,,,,,,,,,,
98_test,0.86861,0.65000,0.28586,0.58847,0.98500,0.31500,0.65000,0.58982,0.98500,0.73783,0.65000
98_train,0.92896,0.81050,0.61334,0.72526,0.99900,0.62200,0.81050,0.72549,0.99900,0.84056,0.81050
,,,,,,,,,,,
1502_test,0.86813,0.87400,0.74291,0.82944,0.86500,0.88300,0.87400,0.88086,0.86500,0.87286,0.87400
1502_train,0.98196,0.98500,0.96939,0.98010,0.98000,0.99000,0.98500,0.98990,0.98000,0.98492,0.98500
,,,,,,,,,,,
106_test,0.86796,0.64600,0.27770,0.58569,0.98600,0.30600,0.64600,0.58690,0.98600,0.73582,0.64600
106_train,0.92456,0.79600,0.58376,0.71023,1.00000,0.59200,0.79600,0.71023,1.00000,0.83056,0.79600
,,,,,,,,,,,
1510_test,0.86791,0.87150,0.73781,0.82530,0.86600,0.87700,0.87150,0.87563,0.86600,0.87079,0.87150
1510_train,0.98819,0.99000,0.97960,0.98655,0.98700,0.99300,0.99000,0.99296,0.98700,0.98997,0.99000
,,,,,,,,,,,
784_test,0.86703,0.87650,0.74801,0.83424,0.86200,0.89100,0.87650,0.88774,0.86200,0.87468,0.87650
784_train,0.97537,0.97750,0.95409,0.96836,0.97400,0.98100,0.97750,0.98087,0.97400,0.97742,0.97750
,,,,,,,,,,,
672_test,0.86700,0.86700,0.72863,0.81819,0.86700,0.86700,0.86700,0.86700,0.86700,0.86700,0.86700
672_train,0.99021,0.98900,0.97756,0.98267,0.99100,0.98700,0.98900,0.98705,0.99100,0.98902,0.98900
,,,,,,,,,,,
1554_test,0.86700,0.86700,0.72863,0.81819,0.86700,0.86700,0.86700,0.86700,0.86700,0.86700,0.86700
1554_train,0.86600,0.86600,0.72659,0.81696,0.86600,0.86600,0.86600,0.86600,0.86600,0.86600,0.86600
,,,,,,,,,,,
1066_test,0.86688,0.86100,0.71638,0.80852,0.87000,0.85200,0.86100,0.85462,0.87000,0.86224,0.86100
1066_train,0.94174,0.93800,0.87350,0.90857,0.94400,0.93200,0.93800,0.93281,0.94400,0.93837,0.93800
,,,,,,,,,,,
210_test,0.86643,0.73150,0.45215,0.65368,0.93800,0.52500,0.73150,0.66384,0.93800,0.77746,0.73150
210_train,0.97160,0.92850,0.85411,0.87517,0.99900,0.85800,0.92850,0.87555,0.99900,0.93321,0.92850
,,,,,,,,,,,
196_test,0.86637,0.87650,0.74801,0.83454,0.86100,0.89200,0.87650,0.88854,0.86100,0.87456,0.87650
196_train,0.99520,0.99550,0.99082,0.99352,0.99500,0.99600,0.99550,0.99600,0.99500,0.99550,0.99550
,,,,,,,,,,,
1044_test,0.86627,0.86300,0.72047,0.81196,0.86800,0.85800,0.86300,0.85941,0.86800,0.86368,0.86300
1044_train,0.92519,0.92550,0.84799,0.89398,0.92500,0.92600,0.92550,0.92593,0.92500,0.92546,0.92550
,,,,,,,,,,,
216_test,0.86598,0.85650,0.70720,0.80176,0.87100,0.84200,0.85650,0.84645,0.87100,0.85855,0.85650
216_train,0.98979,0.99100,0.98164,0.98755,0.98900,0.99300,0.99100,0.99297,0.98900,0.99098,0.99100
,,,,,,,,,,,
1508_test,0.86594,0.87150,0.73781,0.82615,0.86300,0.88000,0.87150,0.87792,0.86300,0.87040,0.87150
1508_train,0.98538,0.98750,0.97450,0.98308,0.98400,0.99100,0.98750,0.99094,0.98400,0.98746,0.98750
,,,,,,,,,,,
1746_test,0.86569,0.86700,0.72863,0.81873,0.86500,0.86900,0.86700,0.86847,0.86500,0.86673,0.86700
1746_train,0.98840,0.98900,0.97756,0.98410,0.98800,0.99000,0.98900,0.98998,0.98800,0.98899,0.98900
,,,,,,,,,,,
1070_test,0.86563,0.85550,0.70516,0.80033,0.87100,0.84000,0.85550,0.84481,0.87100,0.85771,0.85550
1070_train,0.86525,0.85250,0.69904,0.79584,0.87200,0.83300,0.85250,0.83927,0.87200,0.85532,0.85250
,,,,,,,,,,,
848_test,0.86517,0.86550,0.72557,0.81647,0.86500,0.86600,0.86550,0.86587,0.86500,0.86543,0.86550
848_train,0.98880,0.98850,0.97654,0.98264,0.98900,0.98800,0.98850,0.98801,0.98900,0.98851,0.98850
,,,,,,,,,,,
1680_test,0.86510,0.82750,0.64803,0.75994,0.88500,0.77000,0.82750,0.79372,0.88500,0.83688,0.82750
1680_train,0.87917,0.85000,0.69394,0.78739,0.89500,0.80500,0.85000,0.82110,0.89500,0.85646,0.85000
,,,,,,,,,,,
1034_test,0.86433,0.85550,0.70516,0.80081,0.86900,0.84200,0.85550,0.84615,0.86900,0.85742,0.85550
1034_train,0.90175,0.89600,0.78780,0.85204,0.90500,0.88700,0.89600,0.88900,0.90500,0.89693,0.89600
,,,,,,,,,,,
1762_test,0.86426,0.87800,0.75107,0.83815,0.85700,0.89900,0.87800,0.89457,0.85700,0.87538,0.87800
1762_train,0.92026,0.93100,0.85921,0.90780,0.91400,0.94800,0.93100,0.94617,0.91400,0.92981,0.93100
,,,,,,,,,,,
164_test,0.86396,0.86200,0.71842,0.81126,0.86500,0.85900,0.86200,0.85984,0.86500,0.86241,0.86200
164_train,0.87547,0.87450,0.74393,0.82708,0.87600,0.87300,0.87450,0.87338,0.87600,0.87469,0.87450
,,,,,,,,,,,
1576_test,0.86308,0.61100,0.20628,0.56246,0.99600,0.22600,0.61100,0.56271,0.99600,0.71913,0.61100
1576_train,0.89318,0.70100,0.38992,0.62578,1.00000,0.40200,0.70100,0.62578,1.00000,0.76982,0.70100
,,,,,,,,,,,
682_test,0.86252,0.60150,0.18690,0.55648,1.00000,0.20300,0.60150,0.55648,1.00000,0.71505,0.60150
682_train,0.89493,0.70650,0.40114,0.63012,1.00000,0.41300,0.70650,0.63012,1.00000,0.77310,0.70650
,,,,,,,,,,,
204_test,0.86197,0.86950,0.73373,0.82449,0.85800,0.88100,0.86950,0.87820,0.85800,0.86798,0.86950
204_train,0.99620,0.99650,0.99286,0.99501,0.99600,0.99700,0.99650,0.99700,0.99600,0.99650,0.99650
,,,,,,,,,,,
1642_test,0.86045,0.85750,0.70924,0.80542,0.86200,0.85300,0.85750,0.85431,0.86200,0.85814,0.85750
1642_train,0.86826,0.86500,0.72455,0.81441,0.87000,0.86000,0.86500,0.86139,0.87000,0.86567,0.86500
,,,,,,,,,,,
880_test,0.86042,0.68400,0.35523,0.61401,0.95300,0.41500,0.68400,0.61964,0.95300,0.75099,0.68400
880_train,0.84458,0.63600,0.25729,0.57935,0.95100,0.32100,0.63600,0.58344,0.95100,0.72319,0.63600
,,,,,,,,,,,
734_test,0.86025,0.82450,0.64191,0.75720,0.87900,0.77000,0.82450,0.79261,0.87900,0.83357,0.82450
734_train,0.92199,0.89800,0.79188,0.84622,0.93600,0.86000,0.89800,0.86989,0.93600,0.90173,0.89800
,,,,,,,,,,,
1728_test,0.86012,0.87750,0.75005,0.83923,0.85100,0.90400,0.87750,0.89863,0.85100,0.87417,0.87750
1728_train,0.97451,0.98000,0.95919,0.97462,0.97100,0.98900,0.98000,0.98880,0.97100,0.97982,0.98000
,,,,,,,,,,,
1690_test,0.86008,0.87550,0.74597,0.83570,0.85200,0.89900,0.87550,0.89402,0.85200,0.87250,0.87550
1690_train,0.97632,0.98150,0.96225,0.97660,0.97300,0.99000,0.98150,0.98983,0.97300,0.98134,0.98150
,,,,,,,,,,,
