model,f2,gmean,bss,pr_auc,sensitivity,specificity,accuracy,precision,recall,f1,auc
58_test,0.91919,0.89200,0.77964,0.83750,0.93500,0.84900,0.89200,0.86096,0.93500,0.89645,0.89200
58_train,0.91629,0.88050,0.75617,0.82033,0.93700,0.82400,0.88050,0.84187,0.93700,0.88689,0.88050
,,,,,,,,,,,
780_test,0.90801,0.89050,0.77658,0.83979,0.91800,0.86300,0.89050,0.87014,0.91800,0.89343,0.89050
780_train,0.94493,0.93000,0.85717,0.89143,0.95400,0.90600,0.93000,0.91031,0.95400,0.93164,0.93000
,,,,,,,,,,,
1774_test,0.90778,0.84600,0.68578,0.77326,0.94300,0.74900,0.84600,0.78978,0.94300,0.85962,0.84600
1774_train,0.94204,0.89250,0.78066,0.82917,0.97200,0.81300,0.89250,0.83865,0.97200,0.90042,0.89250
,,,,,,,,,,,
856_test,0.90570,0.87350,0.74189,0.81346,0.92400,0.82300,0.87350,0.83924,0.92400,0.87958,0.87350
856_train,0.93959,0.91400,0.82453,0.86541,0.95500,0.87300,0.91400,0.88262,0.95500,0.91739,0.91400
,,,,,,,,,,,
1558_test,0.90379,0.88400,0.76331,0.83085,0.91500,0.85300,0.88400,0.86158,0.91500,0.88749,0.88400
1558_train,0.90542,0.88150,0.75821,0.82614,0.91900,0.84400,0.88150,0.85488,0.91900,0.88578,0.88150
,,,,,,,,,,,
1786_test,0.90373,0.90150,0.79902,0.86083,0.90500,0.89800,0.90150,0.89871,0.90500,0.90184,0.90150
1786_train,0.95557,0.95650,0.91124,0.93727,0.95500,0.95800,0.95650,0.95787,0.95500,0.95643,0.95650
,,,,,,,,,,,
898_test,0.90314,0.89100,0.77760,0.84278,0.91000,0.87200,0.89100,0.87669,0.91000,0.89303,0.89100
898_train,0.92772,0.91200,0.82044,0.86766,0.93700,0.88700,0.91200,0.89238,0.93700,0.91415,0.91200
,,,,,,,,,,,
114_test,0.90267,0.78000,0.55111,0.69665,0.97200,0.58800,0.78000,0.70231,0.97200,0.81544,0.78000
114_train,0.94064,0.85550,0.70516,0.77703,0.99200,0.71900,0.85550,0.77926,0.99200,0.87286,0.85550
,,,,,,,,,,,
984_test,0.90257,0.76200,0.51438,0.67867,0.98200,0.54200,0.76200,0.68194,0.98200,0.80492,0.76200
984_train,0.94447,0.85300,0.70006,0.77280,1.00000,0.70600,0.85300,0.77280,1.00000,0.87184,0.85300
,,,,,,,,,,,
694_test,0.90022,0.87750,0.75005,0.82181,0.91300,0.84200,0.87750,0.85247,0.91300,0.88170,0.87750
694_train,0.90174,0.88000,0.75515,0.82521,0.91400,0.84600,0.88000,0.85581,0.91400,0.88395,0.88000
,,,,,,,,,,,
88_test,0.89863,0.74650,0.48276,0.66444,0.98400,0.50900,0.74650,0.66712,0.98400,0.79515,0.74650
88_train,0.90833,0.77750,0.54601,0.69333,0.98300,0.57200,0.77750,0.69667,0.98300,0.81543,0.77750
,,,,,,,,,,,
1604_test,0.89684,0.84650,0.68680,0.77702,0.92500,0.76800,0.84650,0.79948,0.92500,0.85767,0.84650
1604_train,0.94701,0.91750,0.83167,0.86793,0.96500,0.87000,0.91750,0.88128,0.96500,0.92124,0.91750
,,,,,,,,,,,
1792_test,0.89347,0.90150,0.79902,0.86609,0.88900,0.91400,0.90150,0.91179,0.88900,0.90025,0.90150
1792_train,0.90736,0.91500,0.82657,0.88396,0.90300,0.92700,0.91500,0.92520,0.90300,0.91397,0.91500
,,,,,,,,,,,
84_test,0.89345,0.76300,0.51643,0.68070,0.96600,0.56000,0.76300,0.68706,0.96600,0.80299,0.76300
84_train,0.95274,0.87600,0.74699,0.80128,1.00000,0.75200,0.87600,0.80128,1.00000,0.88968,0.87600
,,,,,,,,,,,
748_test,0.89282,0.89250,0.78066,0.85015,0.89300,0.89200,0.89250,0.89211,0.89300,0.89255,0.89250
748_train,0.89621,0.89300,0.78168,0.84942,0.89800,0.88800,0.89300,0.88911,0.89800,0.89353,0.89300
,,,,,,,,,,,
1008_test,0.89229,0.78650,0.56437,0.70501,0.95100,0.62200,0.78650,0.71558,0.95100,0.81666,0.78650
1008_train,0.96243,0.91200,0.82044,0.85183,0.99400,0.83000,0.91200,0.85395,0.99400,0.91867,0.91200
,,,,,,,,,,,
888_test,0.89209,0.85800,0.71026,0.79488,0.91100,0.80500,0.85800,0.82369,0.91100,0.86515,0.85800
888_train,0.91813,0.89250,0.78066,0.83876,0.93300,0.85200,0.89250,0.86309,0.93300,0.89668,0.89250
,,,,,,,,,,,
1000_test,0.89040,0.74650,0.48276,0.66524,0.97000,0.52300,0.74650,0.67035,0.97000,0.79281,0.74650
1000_train,0.95093,0.87100,0.73679,0.79491,1.00000,0.74200,0.87100,0.79491,1.00000,0.88574,0.87100
,,,,,,,,,,,
644_test,0.89012,0.84150,0.67660,0.77207,0.91700,0.76600,0.84150,0.79670,0.91700,0.85263,0.84150
644_train,0.89549,0.86950,0.73373,0.81105,0.91000,0.82900,0.86950,0.84181,0.91000,0.87458,0.86950
,,,,,,,,,,,
1764_test,0.88993,0.85000,0.69394,0.78399,0.91200,0.78800,0.85000,0.81139,0.91200,0.85876,0.85000
1764_train,0.92888,0.90500,0.80616,0.85494,0.94300,0.86700,0.90500,0.87639,0.94300,0.90848,0.90500
,,,,,,,,,,,
1140_test,0.88957,0.82000,0.63273,0.74421,0.92800,0.71200,0.82000,0.76316,0.92800,0.83755,0.82000
1140_train,0.98265,0.96050,0.91940,0.92788,0.99700,0.92400,0.96050,0.92917,0.99700,0.96189,0.96050
,,,,,,,,,,,
30_test,0.88953,0.83800,0.66946,0.76749,0.91800,0.75800,0.83800,0.79138,0.91800,0.85000,0.83800
30_train,0.89791,0.84600,0.68578,0.77603,0.92700,0.76500,0.84600,0.79776,0.92700,0.85754,0.84600
,,,,,,,,,,,
290_test,0.88887,0.84150,0.67660,0.77243,0.91500,0.76800,0.84150,0.79773,0.91500,0.85235,0.84150
290_train,0.88287,0.83500,0.66333,0.76526,0.90900,0.76100,0.83500,0.79181,0.90900,0.84637,0.83500
,,,,,,,,,,,
240_test,0.88869,0.87000,0.73475,0.81440,0.89900,0.84100,0.87000,0.84972,0.89900,0.87366,0.87000
240_train,0.99541,0.99300,0.98572,0.98762,0.99700,0.98900,0.99300,0.98909,0.99700,0.99303,0.99300
,,,,,,,,,,,
1784_test,0.88791,0.86050,0.71536,0.80003,0.90300,0.81800,0.86050,0.83226,0.90300,0.86619,0.86050
1784_train,0.92402,0.90700,0.81024,0.86066,0.93400,0.88000,0.90700,0.88615,0.93400,0.90944,0.90700
,,,,,,,,,,,
292_test,0.88554,0.89200,0.77964,0.85280,0.88200,0.90200,0.89200,0.90000,0.88200,0.89091,0.89200
292_train,0.90133,0.90900,0.81432,0.87589,0.89700,0.92100,0.90900,0.91906,0.89700,0.90789,0.90900
,,,,,,,,,,,
1584_test,0.88547,0.70400,0.39604,0.62864,0.98500,0.42300,0.70400,0.63060,0.98500,0.76893,0.70400
1584_train,0.94015,0.84250,0.67864,0.76059,0.99900,0.68600,0.84250,0.76085,0.99900,0.86381,0.84250
,,,,,,,,,,,
