model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
1748,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
852,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1006,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",sigmoid,20
1796,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
1512,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
1562,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
98,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1502,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
106,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",sigmoid,20
1510,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
784,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
672,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
1554,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
1066,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
210,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
196,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1044,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
216,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1508,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,20
1746,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
1070,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
848,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1680,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
1034,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
1762,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
164,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,20
1576,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
682,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,20
204,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1642,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
880,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
734,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
