model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_58,0.91919,0.89200,0.77964,0.83750,0.93500,0.84900,nan,0.89200,0.86096,0.93500,0.89645,0.89200
model_780,0.90801,0.89050,0.77658,0.83979,0.91800,0.86300,0.8634960055351257,0.89050,0.87014,0.91800,0.89343,0.89050
model_1774,0.90778,0.84600,0.68578,0.77326,0.94300,0.74900,0.8312767744064331,0.84600,0.78978,0.94300,0.85962,0.84600
model_856,0.90570,0.87350,0.74189,0.81346,0.92400,0.82300,0.8279280629710875,0.87350,0.83924,0.92400,0.87958,0.87350
model_1558,0.90379,0.88400,0.76331,0.83085,0.91500,0.85300,0.8095002472400665,0.88400,0.86158,0.91500,0.88749,0.88400
model_1786,0.90373,0.90150,0.79902,0.86083,0.90500,0.89800,0.8213824347043649,0.90150,0.89871,0.90500,0.90184,0.90150
model_898,0.90314,0.89100,0.77760,0.84278,0.91000,0.87200,nan,0.89100,0.87669,0.91000,0.89303,0.89100
model_114,0.90267,0.78000,0.55111,0.69665,0.97200,0.58800,nan,0.78000,0.70231,0.97200,0.81544,0.78000
model_984,0.90257,0.76200,0.51438,0.67867,0.98200,0.54200,0.9000534413034748,0.76200,0.68194,0.98200,0.80492,0.76200
model_694,0.90022,0.87750,0.75005,0.82181,0.91300,0.84200,0.8055828493975458,0.87750,0.85247,0.91300,0.88170,0.87750
model_88,0.89863,0.74650,0.48276,0.66444,0.98400,0.50900,0.8149542510509491,0.74650,0.66712,0.98400,0.79515,0.74650
model_1604,0.89684,0.84650,0.68680,0.77702,0.92500,0.76800,0.8380965549837459,0.84650,0.79948,0.92500,0.85767,0.84650
model_1792,0.89347,0.90150,0.79902,0.86609,0.88900,0.91400,nan,0.90150,0.91179,0.88900,0.90025,0.90150
model_84,0.89345,0.76300,0.51643,0.68070,0.96600,0.56000,0.8799968681885646,0.76300,0.68706,0.96600,0.80299,0.76300
model_748,0.89282,0.89250,0.78066,0.85015,0.89300,0.89200,0.8287462106306259,0.89250,0.89211,0.89300,0.89255,0.89250
model_1008,0.89229,0.78650,0.56437,0.70501,0.95100,0.62200,0.8407217410632543,0.78650,0.71558,0.95100,0.81666,0.78650
model_888,0.89209,0.85800,0.71026,0.79488,0.91100,0.80500,0.8493438043799961,0.85800,0.82369,0.91100,0.86515,0.85800
model_1000,0.89040,0.74650,0.48276,0.66524,0.97000,0.52300,0.8817766075005788,0.74650,0.67035,0.97000,0.79281,0.74650
model_644,0.89012,0.84150,0.67660,0.77207,0.91700,0.76600,0.8160101008415223,0.84150,0.79670,0.91700,0.85263,0.84150
model_1764,0.88993,0.85000,0.69394,0.78399,0.91200,0.78800,0.8296233530227954,0.85000,0.81139,0.91200,0.85876,0.85000
model_1140,0.88957,0.82000,0.63273,0.74421,0.92800,0.71200,nan,0.82000,0.76316,0.92800,0.83755,0.82000
model_30,0.88953,0.83800,0.66946,0.76749,0.91800,0.75800,0.8091440200805664,0.83800,0.79138,0.91800,0.85000,0.83800
model_290,0.88887,0.84150,0.67660,0.77243,0.91500,0.76800,nan,0.84150,0.79773,0.91500,0.85235,0.84150
model_240,0.88869,0.87000,0.73475,0.81440,0.89900,0.84100,nan,0.87000,0.84972,0.89900,0.87366,0.87000
model_1784,0.88791,0.86050,0.71536,0.80003,0.90300,0.81800,0.8167195745876857,0.86050,0.83226,0.90300,0.86619,0.86050
model_292,0.88554,0.89200,0.77964,0.85280,0.88200,0.90200,0.8156155943870544,0.89200,0.90000,0.88200,0.89091,0.89200
model_1584,0.88547,0.70400,0.39604,0.62864,0.98500,0.42300,0.8464389439625076,0.70400,0.63060,0.98500,0.76893,0.70400
model_620,0.88488,0.88650,0.76841,0.84338,0.88400,0.88900,0.8362070363540944,0.88650,0.88844,0.88400,0.88622,0.88650
model_964,0.88429,0.88300,0.76127,0.83760,0.88500,0.88100,0.9773479588826497,0.88300,0.88147,0.88500,0.88323,0.88300
model_958,0.88419,0.84250,0.67864,0.77515,0.90700,0.77800,0.8276072442531586,0.84250,0.80337,0.90700,0.85204,0.84250
model_980,0.88353,0.72900,0.44705,0.64998,0.96800,0.49000,0.8633670100499411,0.72900,0.65494,0.96800,0.78128,0.72900
model_740,0.88276,0.87500,0.74495,0.82483,0.88700,0.86300,0.8605321674321516,0.87500,0.86621,0.88700,0.87648,0.87500
model_940,0.88259,0.86350,0.72149,0.80652,0.89300,0.83400,0.8622175458895913,0.86350,0.84325,0.89300,0.86741,0.86350
model_624,0.88219,0.73950,0.46848,0.65956,0.96000,0.51900,0.8546174387665907,0.73950,0.66620,0.96000,0.78656,0.73950
model_972,0.88171,0.88300,0.76127,0.83878,0.88100,0.88500,0.9806598102416176,0.88300,0.88454,0.88100,0.88277,0.88300
model_1104,0.88153,0.88800,0.77148,0.84762,0.87800,0.89800,nan,0.88800,0.89592,0.87800,0.88687,0.88800
