model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_1992,0.91690,0.91500,0.82657,0.87870,0.91800,0.91200,nan,0.91500,0.91252,0.91800,0.91525,0.91500
model_2028,0.91682,0.91650,0.82963,0.88155,0.91700,0.91600,nan,0.91650,0.91608,0.91700,0.91654,0.91650
model_252,0.91678,0.90950,0.81534,0.86867,0.92100,0.89800,0.9708763295484832,0.90950,0.90029,0.92100,0.91053,0.90950
model_2892,0.91675,0.92150,0.83983,0.89112,0.91400,0.92900,nan,0.92150,0.92792,0.91400,0.92091,0.92150
model_796,0.91635,0.91350,0.82351,0.87621,0.91800,0.90900,nan,0.91350,0.90981,0.91800,0.91389,0.91350
model_964,0.91624,0.90800,0.81228,0.86625,0.92100,0.89500,0.9657509195482409,0.90800,0.89766,0.92100,0.90918,0.90800
model_2044,0.91577,0.90500,0.80616,0.86113,0.92200,0.88800,0.9605801778319848,0.90500,0.89168,0.92200,0.90659,0.90500
model_2038,0.91557,0.81100,0.61436,0.72822,0.97600,0.64600,nan,0.81100,0.73383,0.97600,0.83777,0.81100
model_852,0.91554,0.91300,0.82249,0.87572,0.91700,0.90900,0.9735365961497034,0.91300,0.90972,0.91700,0.91335,0.91300
model_2096,0.91540,0.90050,0.79698,0.85345,0.92400,0.87700,0.8278751538741631,0.90050,0.88252,0.92400,0.90278,0.90050
model_1752,0.91535,0.91250,0.82147,0.87489,0.91700,0.90800,0.9719750084024568,0.91250,0.90882,0.91700,0.91289,0.91250
model_2628,0.91516,0.90850,0.81330,0.86769,0.91900,0.89800,nan,0.90850,0.90010,0.91900,0.90945,0.90850
model_2020,0.91516,0.90850,0.81330,0.86769,0.91900,0.89800,nan,0.90850,0.90010,0.91900,0.90945,0.90850
model_2952,0.91507,0.91000,0.81636,0.87045,0.91800,0.90200,0.9672303936807564,0.91000,0.90354,0.91800,0.91071,0.91000
model_68,0.91502,0.89600,0.78780,0.84594,0.92600,0.86600,0.9625163103446579,0.89600,0.87358,0.92600,0.89903,0.89600
model_2592,0.91500,0.91500,0.82657,0.87973,0.91500,0.91500,0.8028683084146568,0.91500,0.91500,0.91500,0.91500,0.91500
model_792,0.91482,0.91450,0.82555,0.87889,0.91500,0.91400,0.8066660188082745,0.91450,0.91409,0.91500,0.91454,0.91450
model_784,0.91482,0.91450,0.82555,0.87889,0.91500,0.91400,0.8016277899428523,0.91450,0.91409,0.91500,0.91454,0.91450
model_1092,0.91456,0.91900,0.83473,0.88755,0.91200,0.92600,nan,0.91900,0.92495,0.91200,0.91843,0.91900
model_228,0.91445,0.91350,0.82351,0.87722,0.91500,0.91200,nan,0.91350,0.91226,0.91500,0.91363,0.91350
model_1572,0.91444,0.91000,0.81636,0.87078,0.91700,0.90300,0.9719919575571258,0.91000,0.90434,0.91700,0.91063,0.91000
model_2016,0.91415,0.81900,0.63069,0.73778,0.96900,0.66900,nan,0.81900,0.74538,0.96900,0.84261,0.81900
model_1516,0.91407,0.82050,0.63375,0.73957,0.96800,0.67300,0.8863968270666459,0.82050,0.74749,0.96800,0.84357,0.82050
model_2922,0.91386,0.89800,0.79188,0.84986,0.92300,0.87300,nan,0.89800,0.87905,0.92300,0.90049,0.89800
model_1864,0.91360,0.90250,0.80106,0.85778,0.92000,0.88500,0.9566653299385606,0.90250,0.88889,0.92000,0.90418,0.90250
model_2712,0.91353,0.90750,0.81126,0.86671,0.91700,0.89800,0.9678291543901966,0.90750,0.89990,0.91700,0.90837,0.90750
model_820,0.91317,0.91000,0.81636,0.87144,0.91500,0.90500,nan,0.91000,0.90594,0.91500,0.91045,0.91000
model_1504,0.91309,0.91150,0.81942,0.87424,0.91400,0.90900,0.975899353924762,0.91150,0.90945,0.91400,0.91172,0.91150
model_1684,0.91291,0.91450,0.82555,0.87992,0.91200,0.91700,0.8079877199871199,0.91450,0.91658,0.91200,0.91429,0.91450
model_248,0.91289,0.90400,0.80412,0.86077,0.91800,0.89000,0.958892399546775,0.90400,0.89300,0.91800,0.90533,0.90400
model_66,0.91288,0.90050,0.79698,0.85463,0.92000,0.88100,0.9624573919140671,0.90050,0.88547,0.92000,0.90240,0.90050
model_1512,0.91282,0.91250,0.82147,0.87624,0.91300,0.91200,0.9711344717205435,0.91250,0.91209,0.91300,0.91254,0.91250
model_2832,0.91280,0.90550,0.80718,0.86348,0.91700,0.89400,0.9748820626491354,0.90550,0.89638,0.91700,0.90657,0.90550
model_220,0.91272,0.91050,0.81738,0.87259,0.91400,0.90700,nan,0.91050,0.90765,0.91400,0.91081,0.91050
model_1110,0.91268,0.89300,0.78168,0.84193,0.92400,0.86200,nan,0.89300,0.87006,0.92400,0.89622,0.89300
model_604,0.91263,0.90850,0.81330,0.86898,0.91500,0.90200,0.9742132945335208,0.90850,0.90326,0.91500,0.90909,0.90850
model_70,0.91233,0.89550,0.78678,0.84630,0.92200,0.86900,0.9648975343874333,0.89550,0.87559,0.92200,0.89820,0.89550
model_1984,0.91218,0.91250,0.82147,0.87658,0.91200,0.91300,nan,0.91250,0.91291,0.91200,0.91246,0.91250
model_1032,0.91171,0.90250,0.80106,0.85869,0.91700,0.88800,0.9722391397642279,0.90250,0.89116,0.91700,0.90389,0.90250
model_912,0.91163,0.90750,0.81126,0.86768,0.91400,0.90100,0.9609234815747194,0.90750,0.90227,0.91400,0.90810,0.90750
model_2884,0.91146,0.91400,0.82453,0.87978,0.91000,0.91800,nan,0.91400,0.91734,0.91000,0.91365,0.91400
model_798,0.91144,0.90350,0.80310,0.86059,0.91600,0.89100,nan,0.90350,0.89366,0.91600,0.90469,0.90350
model_1162,0.91133,0.88750,0.77046,0.83343,0.92500,0.85000,0.8572874615517053,0.88750,0.86047,0.92500,0.89157,0.88750
model_2800,0.91115,0.89050,0.77658,0.83843,0.92300,0.85800,0.813000128549688,0.89050,0.86667,0.92300,0.89395,0.89050
model_218,0.91107,0.89550,0.78678,0.84686,0.92000,0.87100,nan,0.89550,0.87703,0.92000,0.89800,0.89550
model_702,0.91103,0.85700,0.70822,0.78743,0.94200,0.77200,0.8219829127192497,0.85700,0.80513,0.94200,0.86820,0.85700
model_2704,0.91099,0.90050,0.79698,0.85553,0.91700,0.88400,0.9714274410437896,0.90050,0.88771,0.91700,0.90212,0.90050
model_1564,0.91090,0.90200,0.80004,0.85820,0.91600,0.88800,0.9739596426550177,0.90200,0.89105,0.91600,0.90335,0.90200
model_2726,0.91084,0.84950,0.69292,0.77714,0.94600,0.75300,0.8974925086416047,0.84950,0.79296,0.94600,0.86275,0.84950
model_662,0.91072,0.90500,0.80616,0.86362,0.91400,0.89600,0.9695688873660147,0.90500,0.89784,0.91400,0.90585,0.90500
model_804,0.91064,0.91000,0.81636,0.87276,0.91100,0.90900,nan,0.91000,0.90918,0.91100,0.91009,0.91000
model_1502,0.91063,0.90300,0.80208,0.86010,0.91500,0.89100,0.9706796539259387,0.90300,0.89355,0.91500,0.90415,0.90300
model_2036,0.91053,0.79800,0.58784,0.71459,0.97500,0.62100,nan,0.79800,0.72009,0.97500,0.82838,0.79800
model_192,0.91046,0.91300,0.82249,0.87844,0.90900,0.91700,nan,0.91300,0.91633,0.90900,0.91265,0.91300
model_1728,0.91045,0.90600,0.80820,0.86556,0.91300,0.89900,nan,0.90600,0.90039,0.91300,0.90665,0.90600
model_200,0.91044,0.89550,0.78678,0.84715,0.91900,0.87200,nan,0.89550,0.87775,0.91900,0.89790,0.89550
model_1786,0.91015,0.86500,0.72455,0.79916,0.93600,0.79400,0.9151292140551546,0.86500,0.81961,0.93600,0.87395,0.86500
