model,accuracy,precision,recall,f1,auc
model_86,0.67318,0.70053,0.62359,0.65457,0.67826
model_52,0.67075,0.70284,0.64209,0.66544,0.67531
model_54,0.66923,0.70817,0.63987,0.66458,0.67606
model_75,0.66921,0.72501,0.58872,0.64439,0.67200
model_87,0.66722,0.69684,0.61670,0.64884,0.67284
model_37,0.66268,0.68292,0.64307,0.65755,0.66604
model_53,0.66111,0.68140,0.65633,0.66343,0.66544
model_21,0.65201,0.67192,0.72148,0.67870,0.65357
model_9,0.64847,0.66341,0.65205,0.65253,0.65255
model_13,0.63742,0.64836,0.64105,0.63896,0.64050
model_82,0.63694,0.67618,0.60682,0.63395,0.64272
model_67,0.63448,0.67247,0.56912,0.61077,0.63870
model_7,0.63402,0.64589,0.64793,0.64166,0.63810
model_84,0.61860,0.65115,0.62404,0.62989,0.62495
model_85,0.61613,0.65183,0.52989,0.58042,0.62035
model_39,0.61023,0.63059,0.58567,0.60321,0.61336
model_83,0.59319,0.63557,0.58844,0.60602,0.59616
model_49,0.57187,0.59634,0.57967,0.58199,0.57514
model_6,0.55333,0.58801,0.47824,0.52102,0.55433
model_79,0.54069,0.56257,0.56187,0.55645,0.54367
model_80,0.53880,0.56793,0.53239,0.54291,0.54410
model_51,0.53696,0.56472,0.51474,0.53233,0.54080
model_96,0.51351,0.51169,0.99774,0.67374,0.50693
model_4,0.51324,0.53146,0.48256,0.50179,0.51309
model_50,0.50663,0.53791,0.52973,0.52702,0.50960
model_81,0.49514,0.51699,0.50556,0.50589,0.49810
model_5,0.46998,0.48453,0.46938,0.47260,0.47083
model_36,0.46620,0.46358,0.36999,0.40402,0.46876
model_35,0.46592,0.48039,0.47011,0.47088,0.46661
model_34,0.43589,0.45317,0.43610,0.44046,0.43757
