FP,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost,Weighted Logistic Regression
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.12883435582822086,0.8343558282208589,0.8957055214723927,0.8343558282208589
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.12883435582822086,0.8343558282208589,0.8957055214723927,0.8343558282208589
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.12883435582822086,0.8343558282208589,0.8957055214723927,0.8343558282208589
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.12883435582822086,0.8343558282208589,0.8957055214723927,0.8343558282208589
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.12883435582822086,0.8343558282208589,0.8957055214723927,0.8343558282208589
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.12883435582822086,0.8343558282208589,0.8957055214723927,0.8343558282208589
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0'}",0.12883435582822086,0.8343558282208589,0.8957055214723927,0.8343558282208589
"{'0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.16022099447513813,0.8121546961325967,0.861878453038674,0.8121546961325967
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0'}",0.15254237288135594,0.8248587570621468,0.864406779661017,0.8248587570621468
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.15254237288135594,0.8248587570621468,0.864406779661017,0.8248587570621468
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.16022099447513813,0.8121546961325967,0.861878453038674,0.8121546961325967
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.15254237288135594,0.8248587570621468,0.864406779661017,0.8248587570621468
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.16022099447513813,0.8121546961325967,0.861878453038674,0.8121546961325967
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.15254237288135594,0.8248587570621468,0.864406779661017,0.8248587570621468
{'1.0<YEAR_2<2.0'},0.1956521739130435,0.8315217391304348,0.8913043478260869,0.8315217391304348
"{'1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.1956521739130435,0.8315217391304348,0.8913043478260869,0.8315217391304348
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0'}",0.1956521739130435,0.8315217391304348,0.8913043478260869,0.8315217391304348
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.1956521739130435,0.8315217391304348,0.8913043478260869,0.8315217391304348
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.1912568306010929,0.8306010928961749,0.8961748633879781,0.8306010928961749
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.1912568306010929,0.8306010928961749,0.8961748633879781,0.8306010928961749
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.1912568306010929,0.8306010928961749,0.8961748633879781,0.8306010928961749
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.1912568306010929,0.8306010928961749,0.8961748633879781,0.8306010928961749
{'0.0<LASTDAY_2<2.0'},0.205,0.8,0.865,0.8
{'0.0<Q75_2<2.0'},0.205,0.8,0.865,0.8
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0'}",0.20202020202020202,0.8080808080808081,0.8636363636363636,0.8080808080808081
{'0.0<Q1781_2<2.0'},0.20398009950248755,0.7960199004975125,0.8656716417910447,0.7960199004975125
"{'0.0<Q75_2<2.0', '0.0<Q1781_2<2.0'}",0.205,0.8,0.865,0.8
"{'0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.205,0.8,0.865,0.8
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.20202020202020202,0.8080808080808081,0.8636363636363636,0.8080808080808081
