,0
Q543,450
Q544,452
Q545,451
Q551,451
Q561,451
Q571,454
Q581,454
Q582,454
Q611,0
Q612,0
Q613,0
Q621,0
Q631,0
Q641,0
Q642,1
Q643,0
Q644,0
Q651,0
Q652,0
Q711,0
Q721,0
Q722,1
Q731,0
Q741,341
Q751,340
Q752,340
Q753,340
Q761,340
Q771,340
Q781,3
Q871,1
Q881,447
Q882,447
Q891,447
Q901,0
Q911,1
Q921,491
Q922,491
Q923,491
Q931,0
Q941,24
Q951,485
Q952,485
Q961,485
Q971,487
Q981,487
Q982,487
Q991,487
Q1001,496
Q1002,496
Q1003,498
Q1011,496
Q1012,496
Q1021,489
Q1022,488
Q1031,5
Q1041,2
Q1042,1
Q1043,1
Q1044,1
Q1051,0
Q1052,0
Q1061,2
Q1131,0
Q1141,1
Q1151,478
Q1152,478
Q1153,478
Q1161,477
Q1171,0
Q1181,1
Q1182,1
Q1191,0
Q1201,1
Q1211,0
Q1221,0
Q1222,0
Q1231,0
Q1232,0
Q1233,0
Q1241,0
Q1242,2
Q1251,1
Q1271,1
Q1281,500
Q1291,500
IRDELHAL,502
Q1301,479
Q1302,479
Q1303,479
Q1304,479
Q1305,478
Q1306,478
Q1307,478
Q1351,49
Q1361,33
Q1362,1
Q1363,1
Q1364,1
Q1365,1
alc,1
Q1367,1
Q1368,1
Q1371,1
Q1381,1
Q1391,1
Q1401,491
Q1411,493
Q1412,494
Q1421,499
Q1431,499
Q1441,3
IRERROR,2
Q1451,305
Q1452,304
Q1453,303
Q1454,303
Q1551,43
Q1561,43
ICINTCOM,34
Q1581,467
Q1582,467
Q1591,466
Q1601,466
Q1602,466
Q1611,466
Q1621,466
Q1631,0
Q1632,0
Q1633,0
Q1634,0
Q1635,0
Q1641,0
Q1642,0
Q1651,0
Q1652,0
Q1661,1
Q1671,1
Q1701,0
Q1702,0
Q1703,0
Q1704,0
Q1705,0
Q1706,0
Q1707,9
Q1708,9
Q1709,9
Q1741,0
Q1742,16
Q1743,14
Q1744,14
Q1745,14
Q1751,4
Q1752,4
Q1753,0
Q1754,0
Q1755,0
Q1771,0
Q1781,1
Q1791,0
Q1792,0
q1794,0
q1795,0
q1796,0
q1798,0
q1799,0
q17910,0
q17911,0
q17912,0
q17913,0
q17914,0
q17920,0
q17921,0
ivcondit,0
q17922,0
q17923,0
Q1801,0
Q1802,0
Q1803,0
Q1804,0
Q1805,0
Q1806,0
Q1807,0
Q1808,0
Q1809,0
Q18010,0
Q18011,0
Q18012,0
Q18013,0
Q18014,0
Q18015,0
Q18016,0
Q18017,0
Q18018,0
Q18019,0
Q18020,1
Q1811,0
Q1821,4
Q1822,4
ncogscor,0
nrelscor,0
ndelay,0
brelscor,0
bcogscor,0
bdelay,0
bgmsdiag,0
logodds,0
odds,0
prob,0
dem1066,0
Gender,0
Age,0
Maritalstatus,0
Education,0
ClusterIDnumber,0
HouseholdIDnumber,0
Clustername,0
Building,255
Contactname1,8
Telephone,26
Contactname2,424
Telephone_A,425
Contactafter5years,0
Interviewer,0
InterviewerIDnumber,0
V18,502
V19,502
A__merge2,0
PLIVED,12
PBORN,24
PEDUC,12
PREAD,372
PWRITE,448
PREAD1,89
PMIDAGEREAD,89
PLANG,88
YESSPECI,344
ENGLISH1,416
FRENCH2,409
ARMENIAN,502
OTHERSPE,498
PHEADHSE,11
PREL,290
PMARRY,12
PRELIG,12
PGOCHCH,12
PCLUBS,14
PRELDIST,11
PSIBDIST,11
PCH,12
PCHDIST,55
PRELFRQ,55
PFRD,15
PFRDFRQ,109
PFRDNUM,132
PFRDSAT,109
PNEINUM,19
N11NUMBE,79
PNEIFRQ,75
PHELPSI,480
PHELPSI1,245
PHELPSI2,300
PHELPSI3,421
PHELPSI4,482
PHELPSI5,495
PHELPSI6,488
OTHER1OT,489
PHELPKIN1,226
PHELPKIN2,161
PHELPKIN3,326
PHELPKIN4,335
PHELPKIN5,163
PHELPPRO,11
OTHER2OT,499
occupation_ever,11
PJOB,11
PJOBCAT,52
OTHPJOBCAT,467
PCJOBCAT,13
OTHCJOB,482
PINCOME,11
PINCOME1,474
PINCOME2,489
PINCOME3,502
PINCOME4,299
PINCOME5,443
PINCOME6,375
PINCOME7,443
PINCOME8,488
OTHERPINCO8,492
PINCOME9,90
PINCOFA,12
PSOCIO,11
psocio_new2,11
PTOLDBP,11
PBPYEAR,246
PBPTREAT,243
PBPCON,248
PTOLDHRT,11
