model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Balanced Bagging Classifier,0.82969,0.87858,0.2537331996686576,0.55676,0.92683,0.83125,0.5,-,james,sensitivity
Weighted Logistic Regression,0.76763,0.82499,-0.09452464048596898,0.45354,0.90244,0.75000,not minority,"{0: 1, 1: 100}",james,sensitivity
Weighted XGBoost,0.80357,0.86398,0.2786087596797022,0.55170,0.87805,0.85000,minority,1000,james,sensitivity
Weighted Decision Tree Classifier,0.80000,0.86084,0.2537331996686576,0.54307,0.87805,0.84375,1,"{0: 1, 1: 10}",james,sensitivity
