model,miter,mbs,mlr,ulr,dh,afn,num_vertex,num_filters,emb_loss_weight
model_42,1000,32,0.1,0.1,"128, 64",relu,8,16,0.1
model_38,1000,32,0.1,0.1,"128, 64",relu,4,16,0.1
model_1,1000,32,0.1,0.1,"128, 64",relu,2,16,0.01
model_30,1000,32,0.1,0.1,"128, 64",relu,10,16,0.1
model_41,1000,32,0.1,0.1,"128, 64",relu,8,16,0.01
model_40,1000,32,0.1,0.1,"128, 64",relu,4,32,0.1
model_12,1000,32,0.1,0.1,"128, 64",relu,8,32,0.1
model_24,1000,32,0.1,0.1,"128, 64",relu,4,32,0.1
model_15,1000,32,0.1,0.1,"128, 64",relu,10,32,0.01
model_57,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.01
model_22,1000,32,0.1,0.1,"128, 64",relu,4,16,0.1
model_8,1000,32,0.1,0.1,"128, 64",relu,4,32,0.1
model_69,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.01
model_44,1000,32,0.1,0.1,"128, 64",relu,8,32,0.1
model_68,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.1
model_55,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.01
model_19,1000,32,0.1,0.1,"128, 64",relu,2,32,0.01
model_73,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.01
model_14,1000,32,0.1,0.1,"128, 64",relu,10,16,0.1
model_56,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.1
model_86,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.1
model_52,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.1
model_54,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.1
model_75,1000,32,0.1,0.1,"128, 64",sigmoid,8,32,0.01
model_87,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.01
model_37,1000,32,0.1,0.1,"128, 64",relu,4,16,0.01
model_53,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.01
model_21,1000,32,0.1,0.1,"128, 64",relu,4,16,0.01
model_9,1000,32,0.1,0.1,"128, 64",relu,8,16,0.01
model_13,1000,32,0.1,0.1,"128, 64",relu,10,16,0.01
model_82,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.1
model_67,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.01
model_7,1000,32,0.1,0.1,"128, 64",relu,4,32,0.01
model_84,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.1
model_85,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.01
model_39,1000,32,0.1,0.1,"128, 64",relu,4,32,0.01
model_83,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.01
model_49,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.01
model_6,1000,32,0.1,0.1,"128, 64",relu,4,16,0.1
model_79,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.01
model_80,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.1
model_51,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.01
model_96,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.1
model_4,1000,32,0.1,0.1,"128, 64",relu,2,32,0.1
model_50,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.1
model_81,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.01
model_5,1000,32,0.1,0.1,"128, 64",relu,4,16,0.01
model_36,1000,32,0.1,0.1,"128, 64",relu,2,32,0.1
model_35,1000,32,0.1,0.1,"128, 64",relu,2,32,0.01
model_34,1000,32,0.1,0.1,"128, 64",relu,2,16,0.1
