model,miter,mbs,mlr,ulr,dh,afn,nu,encoding,num_vertex,num_filters,emb_loss_weight,weights,sampling_strategy
model_69,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,16,0.01,"1, 1",minority
model_107,1000,16,0.1,0.1,"128, 64",relu,4,target,8,32,0.01,"1, 1",not minority
model_109,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,16,0.01,"1, 1",not minority
model_99,1000,16,0.1,0.1,"128, 64",relu,4,target,4,32,0.01,"1, 1",not minority
model_3,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,32,0.01,"1, 1",minority
model_17,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,16,0.01,"1, 1",minority
model_5,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,16,0.01,"1, 1",minority
model_103,1000,16,0.1,0.1,"128, 64",relu,4,target,6,32,0.01,"1, 1",not minority
model_9,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,16,0.01,"1, 1",minority
model_23,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,32,0.01,"1, 1",minority
model_105,1000,16,0.1,0.1,"128, 64",relu,4,target,8,16,0.01,"1, 1",not minority
model_111,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.01,"1, 1",not minority
model_119,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,32,0.01,"1, 1",not minority
model_113,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,16,0.01,"1, 1",not minority
model_117,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,8,16,0.01,"1, 1",not minority
model_63,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,32,0.01,"1, 1",minority
model_13,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,16,0.01,"1, 1",minority
model_21,1000,16,0.1,0.1,"128, 64",relu,4,glmm,8,16,0.01,"1, 1",minority
model_53,1000,16,0.1,0.1,"128, 64",relu,4,james,6,16,0.01,"1, 1",minority
model_15,1000,16,0.1,0.1,"128, 64",relu,4,glmm,4,32,0.01,"1, 1",minority
model_65,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,16,0.01,"1, 1",minority
model_55,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.01,"1, 1",minority
model_71,1000,16,0.1,0.1,"128, 64",relu,4,woe,8,32,0.01,"1, 1",minority
model_11,1000,16,0.1,0.1,"128, 64",relu,4,catboost,8,32,0.01,"1, 1",minority
model_101,1000,16,0.1,0.1,"128, 64",relu,4,target,6,16,0.01,"1, 1",not minority
model_19,1000,16,0.1,0.1,"128, 64",relu,4,glmm,6,32,0.01,"1, 1",minority
model_51,1000,16,0.1,0.1,"128, 64",relu,4,james,4,32,0.01,"1, 1",minority
model_115,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,6,32,0.01,"1, 1",not minority
model_57,1000,16,0.1,0.1,"128, 64",relu,4,james,8,16,0.01,"1, 1",minority
model_59,1000,16,0.1,0.1,"128, 64",relu,4,james,8,32,0.01,"1, 1",minority
model_49,1000,16,0.1,0.1,"128, 64",relu,4,james,4,16,0.01,"1, 1",minority
model_97,1000,16,0.1,0.1,"128, 64",relu,4,target,4,16,0.01,"1, 1",not minority
model_1,1000,16,0.1,0.1,"128, 64",relu,4,catboost,4,16,0.01,"1, 1",minority
model_67,1000,16,0.1,0.1,"128, 64",relu,4,woe,6,32,0.01,"1, 1",minority
model_61,1000,16,0.1,0.1,"128, 64",relu,4,woe,4,16,0.01,"1, 1",minority
model_7,1000,16,0.1,0.1,"128, 64",relu,4,catboost,6,32,0.01,"1, 1",minority
model_56,1000,16,0.1,0.1,"128, 64",relu,4,james,6,32,0.1,"1, 1",minority
model_112,1000,16,0.1,0.1,"128, 64",relu,4,mestimator,4,32,0.1,"1, 1",not minority
