model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Weighted XGBoost,0.84052,0.88412,0.22885763965761285,0.55550,0.95122,0.81875,not minority,1,woe,gmean
Balanced Bagging Classifier,0.81933,0.86477,0.0796042795913443,0.51127,0.95122,0.78125,minority,-,woe,gmean
Weighted Logistic Regression,0.75829,0.84255,0.40298655973492603,0.57617,0.78049,0.90625,not minority,"{0: 162, 1: 639}",woe,gmean
Weighted Decision Tree Classifier,0.74890,0.82400,0.10447983960238916,0.48237,0.82927,0.81875,not minority,"{0: 162, 1: 639}",woe,gmean
