model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Weighted Logistic Regression,0.74419,0.83033,0.3034843196907471,0.53449,0.78049,0.88125,not minority,"{0: 1, 1: 10}",james,f2
Weighted XGBoost,0.74380,0.80670,-0.1691513205191031,0.43013,0.87805,0.73750,not minority,10,james,f2
Weighted Decision Tree Classifier,0.74380,0.80670,-0.1691513205191031,0.43013,0.87805,0.73750,not minority,"{0: 1, 1: 10}",james,f2
Balanced Bagging Classifier,0.74380,0.80670,-0.1691513205191031,0.43013,0.87805,0.73750,not minority,-,james,f2
