model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Balanced Bagging Classifier,0.82969,0.87858,0.2537331996686576,0.55676,0.92683,0.83125,not minority,-,catboost,f2
Weighted XGBoost,0.80786,0.86342,0.20398207964656812,0.53360,0.90244,0.82500,0.5,10,catboost,f2
Weighted Decision Tree Classifier,0.80000,0.86084,0.2537331996686576,0.54307,0.87805,0.84375,1.0,"{0: 162, 1: 639}",catboost,f2
Weighted Logistic Regression,0.76446,0.82175,-0.11940020049701361,0.44798,0.90244,0.74375,0.75,"{0: 162, 1: 639}",catboost,f2
