model,miter,mbs,mlr,ulr,dh,afn,nu,ifp,weights,sampling_strategy,encoding
model_251,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.75,james
model_65,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",1,james
model_336,1000,16,0.1,0.1,128,relu,4,0,"100, 1",not minority,woe
model_126,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",all,woe
model_133,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",1,catboost
model_140,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",0.75,glmm
model_392,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.75,glmm
model_312,1000,16,0.1,0.1,128,relu,4,0,"10, 1",0.5,woe
model_403,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 10",not minority,catboost
model_232,1000,16,0.1,0.1,128,relu,4,0,"1, 10",all,mestimator
model_110,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",minority,glmm
model_54,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",all,woe
model_363,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",minority,target
model_137,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",1,james
model_262,1000,16,0.1,0.1,128,relu,4,0,"1, 100",not minority,mestimator
model_113,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",minority,james
model_315,1000,16,0.1,0.1,128,relu,4,0,"10, 1",1,target
model_394,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",0.75,mestimator
model_235,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.5,catboost
model_290,1000,16,0.1,0.1,128,relu,4,0,"10, 1",minority,glmm
model_186,1000,16,0.1,0.1,128,relu,4,0,"1, 1",minority,woe
model_348,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.5,woe
model_60,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",0.5,woe
model_362,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",minority,glmm
model_8,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",not minority,glmm
model_12,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",not minority,woe
model_390,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",1,woe
model_111,1000,16,0.1,0.1,"128, 64",relu,4,0,"10, 1",minority,target
model_69,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 10",0.75,target
model_368,1000,16,0.1,0.1,"128, 64, 64",relu,4,0,"1, 1",not minority,glmm
model_33,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 1",0.75,target
model_289,1000,16,0.1,0.1,128,relu,4,0,"10, 1",minority,catboost
model_321,1000,16,0.1,0.1,128,relu,4,0,"10, 1",0.75,target
model_213,1000,16,0.1,0.1,128,relu,4,0,"1, 1",0.75,target
model_83,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",not minority,james
model_167,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.5,james
model_240,1000,16,0.1,0.1,128,relu,4,0,"1, 10",0.5,woe
