FP,Weighted Logistic Regression,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8343558282208589,0.2085889570552147,0.1656441717791411,0.2085889570552147
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.8343558282208589,0.2085889570552147,0.1656441717791411,0.2085889570552147
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8343558282208589,0.2085889570552147,0.1656441717791411,0.2085889570552147
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.2085889570552147,0.1656441717791411,0.2085889570552147
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.2085889570552147,0.1656441717791411,0.2085889570552147
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.2085889570552147,0.1656441717791411,0.2085889570552147
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0'}",0.8343558282208589,0.2085889570552147,0.1656441717791411,0.2085889570552147
"{'0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8121546961325967,0.24861878453038674,0.1878453038674033,0.24861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0'}",0.8248587570621468,0.23728813559322035,0.1751412429378531,0.23728813559322035
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8248587570621468,0.23728813559322035,0.1751412429378531,0.23728813559322035
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8121546961325967,0.24861878453038674,0.1878453038674033,0.24861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8248587570621468,0.23728813559322035,0.1751412429378531,0.23728813559322035
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8121546961325967,0.24861878453038674,0.1878453038674033,0.24861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8248587570621468,0.23728813559322035,0.1751412429378531,0.23728813559322035
{'1.0<YEAR_2<2.0'},0.8315217391304348,0.27717391304347827,0.17391304347826086,0.27717391304347827
"{'1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.8315217391304348,0.27717391304347827,0.17391304347826086,0.27717391304347827
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0'}",0.8315217391304348,0.27717391304347827,0.17391304347826086,0.27717391304347827
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.8315217391304348,0.27717391304347827,0.17391304347826086,0.27717391304347827
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8306010928961749,0.2786885245901639,0.17486338797814208,0.2786885245901639
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8306010928961749,0.2786885245901639,0.17486338797814208,0.2786885245901639
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8306010928961749,0.2786885245901639,0.17486338797814208,0.2786885245901639
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8306010928961749,0.2786885245901639,0.17486338797814208,0.2786885245901639
{'0.0<LASTDAY_2<2.0'},0.8,0.305,0.205,0.305
{'0.0<Q75_2<2.0'},0.8,0.305,0.205,0.305
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8080808080808081,0.29797979797979796,0.19696969696969696,0.29797979797979796
{'0.0<Q1781_2<2.0'},0.7960199004975125,0.30845771144278605,0.208955223880597,0.30845771144278605
"{'0.0<Q75_2<2.0', '0.0<Q1781_2<2.0'}",0.8,0.305,0.205,0.305
"{'0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8,0.305,0.205,0.305
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8080808080808081,0.29797979797979796,0.19696969696969696,0.29797979797979796
