frequent_patterns
{'0.0<hedges<0.0046189625000000005'}
"{'0.0<hedges<0.0046189625000000005', '0.0<factive_verbs<0.02'}"
{'0.0<sectarian_language<0.012692127000000001'}
"{'0.0<sectarian_language<0.012692127000000001', '0.0<factive_verbs<0.02'}"
{'0.0<implicative_verbs<0.0036798625'}
"{'0.0<implicative_verbs<0.0036798625', '0.5<quoted_sources<1.0'}"
"{'0.5<quoted_sources<1.0', '0.0<implicative_verbs<0.0036798625', '0.0<factive_verbs<0.02'}"
"{'0.0<implicative_verbs<0.0036798625', '0.0<factive_verbs<0.02'}"
{'0.5<quoted_sources<1.0'}
"{'0.5<quoted_sources<1.0', '0.0<factive_verbs<0.02'}"
{'0.0<factive_verbs<0.02'}
