FP,model_498,model_444,model_540,model_48,model_46,model_36,model_30,model_496,model_494,model_452,model_890,model_900,model_896
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0', '0.0<Q75_2<2.0'}",0.406593407,0.406593407,0.406593407,0.197802198,0.197802198,0.197802198,0.197802198,0.406593407,0.406593407,0.406593407,0.498901099,0.498901099,0.498901099
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.406926407,0.406926407,0.406926407,0.196969697,0.196969697,0.196969697,0.196969697,0.406926407,0.406926407,0.406926407,0.5,0.5,0.5
"{'0.0<Q75_2<2.0', '0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<MEMORY_2<1.0'}",0.406593407,0.406593407,0.406593407,0.197802198,0.197802198,0.197802198,0.197802198,0.406593407,0.406593407,0.406593407,0.498901099,0.498901099,0.498901099
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0'}",0.400770713,0.400770713,0.400770713,0.196531792,0.196531792,0.196531792,0.196531792,0.400770713,0.400770713,0.400770713,0.506743738,0.506743738,0.506743738
"{'0.0<PUT_2<1.0', '0.0<Q75_2<2.0'}",0.401559454,0.401559454,0.401559454,0.194931774,0.194931774,0.194931774,0.194931774,0.401559454,0.401559454,0.401559454,0.504873294,0.504873294,0.504873294
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q75_2<2.0'}",0.4,0.4,0.4,0.196078431,0.196078431,0.196078431,0.196078431,0.4,0.4,0.4,0.505882353,0.505882353,0.505882353
"{'0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0'}",0.402298851,0.402298851,0.402298851,0.195402299,0.195402299,0.195402299,0.195402299,0.402298851,0.402298851,0.402298851,0.505747126,0.505747126,0.505747126
"{'0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<Q75_2<2.0'}",0.401559454,0.401559454,0.401559454,0.194931774,0.194931774,0.194931774,0.194931774,0.401559454,0.401559454,0.401559454,0.504873294,0.504873294,0.504873294
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0'}",0.400770713,0.400770713,0.400770713,0.196531792,0.196531792,0.196531792,0.196531792,0.400770713,0.400770713,0.400770713,0.506743738,0.506743738,0.506743738
"{'0.0<Q1781_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<PUT_2<1.0', '0.0<Q75_2<2.0'}",0.4,0.4,0.4,0.196078431,0.196078431,0.196078431,0.196078431,0.4,0.4,0.4,0.505882353,0.505882353,0.505882353
