FP,Weighted Logistic Regression,Balanced Bagging Classifier,Weighted Decision Tree Classifier,Weighted XGBoost
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8343558282208589,0.8159509202453987,0.8957055214723927,0.8957055214723927
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0'}",0.8343558282208589,0.8159509202453987,0.8957055214723927,0.8957055214723927
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8343558282208589,0.8159509202453987,0.8957055214723927,0.8957055214723927
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.8159509202453987,0.8957055214723927,0.8957055214723927
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.8159509202453987,0.8957055214723927,0.8957055214723927
"{'1.0<YEAR_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8343558282208589,0.8159509202453987,0.8957055214723927,0.8957055214723927
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0', '0.0<Q75_2<2.0'}",0.8343558282208589,0.8159509202453987,0.8957055214723927,0.8957055214723927
"{'0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8121546961325967,0.7734806629834254,0.861878453038674,0.861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0'}",0.8248587570621468,0.7796610169491526,0.864406779661017,0.864406779661017
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<Q1781_2<2.0'}",0.8248587570621468,0.7796610169491526,0.864406779661017,0.864406779661017
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8121546961325967,0.7734806629834254,0.861878453038674,0.861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0'}",0.8248587570621468,0.7796610169491526,0.864406779661017,0.864406779661017
"{'0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8121546961325967,0.7734806629834254,0.861878453038674,0.861878453038674
"{'0.0<Q75_2<2.0', '0.0<MEMORY_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8248587570621468,0.7796610169491526,0.864406779661017,0.864406779661017
{'1.0<YEAR_2<2.0'},0.8315217391304348,0.8097826086956522,0.8913043478260869,0.8913043478260869
"{'1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.8315217391304348,0.8097826086956522,0.8913043478260869,0.8913043478260869
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0'}",0.8315217391304348,0.8097826086956522,0.8913043478260869,0.8913043478260869
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<Q1781_2<2.0'}",0.8315217391304348,0.8097826086956522,0.8913043478260869,0.8913043478260869
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8306010928961749,0.8087431693989071,0.8961748633879781,0.8961748633879781
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8306010928961749,0.8087431693989071,0.8961748633879781,0.8961748633879781
"{'1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8306010928961749,0.8087431693989071,0.8961748633879781,0.8961748633879781
"{'0.0<Q75_2<2.0', '1.0<YEAR_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8306010928961749,0.8087431693989071,0.8961748633879781,0.8961748633879781
{'0.0<LASTDAY_2<2.0'},0.8,0.765,0.865,0.865
{'0.0<Q75_2<2.0'},0.8,0.765,0.865,0.865
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0'}",0.8080808080808081,0.7676767676767676,0.8636363636363636,0.8636363636363636
{'0.0<Q1781_2<2.0'},0.7960199004975125,0.7611940298507462,0.8656716417910447,0.8656716417910447
"{'0.0<Q75_2<2.0', '0.0<Q1781_2<2.0'}",0.8,0.765,0.865,0.865
"{'0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8,0.765,0.865,0.865
"{'0.0<Q75_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0'}",0.8080808080808081,0.7676767676767676,0.8636363636363636,0.8636363636363636
