model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_30502,0.97200,0.97200,0.94287,0.95878,0.97200,0.97200,nan,0.97200,0.97200,0.97200,0.97200,0.97200
model_220,0.97200,0.97200,0.94287,0.95878,0.97200,0.97200,nan,0.97200,0.97200,0.97200,0.97200,0.97200
model_24298,0.97200,0.97200,0.94287,0.95878,0.97200,0.97200,nan,0.97200,0.97200,0.97200,0.97200,0.97200
model_29406,0.97178,0.97300,0.94491,0.96113,0.97100,0.97500,0.9839636427032735,0.97300,0.97490,0.97100,0.97295,0.97300
model_37854,0.97178,0.97300,0.94491,0.96113,0.97100,0.97500,0.8452404576084542,0.97300,0.97490,0.97100,0.97295,0.97300
model_4504,0.97175,0.97450,0.94797,0.96445,0.97000,0.97900,0.979885309244457,0.97450,0.97881,0.97000,0.97438,0.97450
model_29014,0.97173,0.95400,0.90614,0.92182,0.98300,0.92500,nan,0.95400,0.92911,0.98300,0.95530,0.95400
model_30508,0.97171,0.93350,0.86431,0.88379,0.99600,0.87100,nan,0.93350,0.88533,0.99600,0.93741,0.93350
model_7120,0.97158,0.97250,0.94389,0.96018,0.97100,0.97400,nan,0.97250,0.97392,0.97100,0.97246,0.97250
model_7098,0.97139,0.97200,0.94287,0.95923,0.97100,0.97300,nan,0.97200,0.97295,0.97100,0.97197,0.97200
model_36692,0.97129,0.94500,0.88778,0.90484,0.98800,0.90200,nan,0.94500,0.90976,0.98800,0.94727,0.94500
model_30510,0.97120,0.96050,0.91940,0.93514,0.97800,0.94300,nan,0.96050,0.94493,0.97800,0.96118,0.96050
model_23104,0.97119,0.97150,0.94185,0.95828,0.97100,0.97200,0.9966946959495544,0.97150,0.97197,0.97100,0.97149,0.97150
model_30494,0.97119,0.97150,0.94185,0.95828,0.97100,0.97200,nan,0.97150,0.97197,0.97100,0.97149,0.97150
model_23320,0.97117,0.97300,0.94491,0.96158,0.97000,0.97600,nan,0.97300,0.97586,0.97000,0.97292,0.97300
model_26304,0.97111,0.97600,0.95103,0.96826,0.96800,0.98400,nan,0.97600,0.98374,0.96800,0.97581,0.97600
model_29600,0.97100,0.97100,0.94083,0.95734,0.97100,0.97100,nan,0.97100,0.97100,0.97100,0.97100,0.97100
model_1948,0.97100,0.97100,0.94083,0.95734,0.97100,0.97100,0.9184150920338827,0.97100,0.97100,0.97100,0.97100,0.97100
model_15996,0.97093,0.95350,0.90512,0.92132,0.98200,0.92500,0.803888738155365,0.95350,0.92904,0.98200,0.95479,0.95350
model_186,0.97081,0.97050,0.93981,0.95640,0.97100,0.97000,nan,0.97050,0.97003,0.97100,0.97051,0.97050
model_30492,0.97081,0.97050,0.93981,0.95640,0.97100,0.97000,nan,0.97050,0.97003,0.97100,0.97051,0.97050
model_29630,0.97079,0.96100,0.92042,0.93643,0.97700,0.94500,nan,0.96100,0.94671,0.97700,0.96161,0.96100
model_31210,0.97058,0.97150,0.94185,0.95873,0.97000,0.97300,0.9831042601009436,0.97150,0.97292,0.97000,0.97146,0.97150
model_39586,0.97051,0.96500,0.92859,0.94490,0.97400,0.95600,0.8377526023397884,0.96500,0.95678,0.97400,0.96531,0.96500
model_21532,0.97037,0.96150,0.92144,0.93773,0.97600,0.94700,nan,0.96150,0.94849,0.97600,0.96205,0.96150
model_29764,0.97036,0.97250,0.94389,0.96108,0.96900,0.97600,0.971298711163877,0.97250,0.97583,0.96900,0.97240,0.97250
model_14482,0.97033,0.95350,0.90512,0.92169,0.98100,0.92600,0.8609681776696188,0.95350,0.92986,0.98100,0.95474,0.95350
model_27830,0.97028,0.94550,0.88880,0.90635,0.98600,0.90500,nan,0.94550,0.91212,0.98600,0.94762,0.94550
model_29608,0.97010,0.95450,0.90716,0.92380,0.98000,0.92900,nan,0.95450,0.93245,0.98000,0.95563,0.95450
model_7096,0.96997,0.97150,0.94185,0.95918,0.96900,0.97400,nan,0.97150,0.97387,0.96900,0.97143,0.97150
model_29884,0.96991,0.97450,0.94797,0.96583,0.96700,0.98200,nan,0.97450,0.98173,0.96700,0.97431,0.97450
model_17398,0.96987,0.96650,0.93165,0.94850,0.97200,0.96100,0.8171150286992391,0.96650,0.96142,0.97200,0.96668,0.96650
model_31438,0.96986,0.93650,0.87043,0.89006,0.99100,0.88200,nan,0.93650,0.89360,0.99100,0.93978,0.93650
model_26300,0.96981,0.96950,0.93777,0.95496,0.97000,0.96900,nan,0.96950,0.96903,0.97000,0.96952,0.96950
model_30504,0.96978,0.97100,0.94083,0.95823,0.96900,0.97300,nan,0.97100,0.97289,0.96900,0.97094,0.97100
model_21344,0.96978,0.95050,0.89900,0.91617,0.98200,0.91900,0.860222066590886,0.95050,0.92380,0.98200,0.95201,0.95050
model_30850,0.96978,0.97100,0.94083,0.95823,0.96900,0.97300,0.9784041277271636,0.97100,0.97289,0.96900,0.97094,0.97100
model_13204,0.96978,0.97100,0.94083,0.95823,0.96900,0.97300,0.9955497944477907,0.97100,0.97289,0.96900,0.97094,0.97100
model_6496,0.96975,0.97250,0.94389,0.96153,0.96800,0.97700,nan,0.97250,0.97679,0.96800,0.97238,0.97250
model_29702,0.96975,0.97250,0.94389,0.96153,0.96800,0.97700,0.9700532817084105,0.97250,0.97679,0.96800,0.97238,0.97250
model_26910,0.96974,0.94250,0.88268,0.90105,0.98700,0.89800,nan,0.94250,0.90634,0.98700,0.94495,0.94250
model_16108,0.96964,0.96750,0.93369,0.95079,0.97100,0.96400,nan,0.96750,0.96425,0.97100,0.96761,0.96750
model_40436,0.96963,0.95800,0.91430,0.93108,0.97700,0.93900,nan,0.95800,0.94123,0.97700,0.95878,0.95800
model_29706,0.96958,0.97050,0.93981,0.95729,0.96900,0.97200,0.9699406735599041,0.97050,0.97192,0.96900,0.97046,0.97050
model_30608,0.96958,0.97050,0.93981,0.95729,0.96900,0.97200,0.9750557792847598,0.97050,0.97192,0.96900,0.97046,0.97050
model_29598,0.96942,0.96850,0.93573,0.95309,0.97000,0.96700,nan,0.96850,0.96710,0.97000,0.96855,0.96850
model_14620,0.96939,0.97000,0.93879,0.95634,0.96900,0.97100,nan,0.97000,0.97094,0.96900,0.96997,0.97000
model_23288,0.96939,0.97000,0.93879,0.95634,0.96900,0.97100,0.9851534904135384,0.97000,0.97094,0.96900,0.96997,0.97000
model_9752,0.96919,0.96950,0.93777,0.95540,0.96900,0.97000,0.8766146600246429,0.96950,0.96997,0.96900,0.96948,0.96950
model_29602,0.96916,0.97100,0.94083,0.95868,0.96800,0.97400,nan,0.97100,0.97384,0.96800,0.97091,0.97100
model_13484,0.96915,0.96150,0.92144,0.93854,0.97400,0.94900,0.8536993822842798,0.96150,0.95024,0.97400,0.96198,0.96150
model_28120,0.96913,0.97250,0.94389,0.96199,0.96700,0.97800,nan,0.97250,0.97776,0.96700,0.97235,0.97250
model_13248,0.96912,0.95350,0.90512,0.92243,0.97900,0.92800,0.9123596104871027,0.95350,0.93149,0.97900,0.95466,0.95350
model_38608,0.96912,0.95350,0.90512,0.92243,0.97900,0.92800,nan,0.95350,0.93149,0.97900,0.95466,0.95350
model_29904,0.96910,0.97400,0.94695,0.96533,0.96600,0.98200,nan,0.97400,0.98171,0.96600,0.97379,0.97400
model_8288,0.96910,0.97400,0.94695,0.96533,0.96600,0.98200,0.9556314084334534,0.97400,0.98171,0.96600,0.97379,0.97400
model_17848,0.96903,0.96750,0.93369,0.95122,0.97000,0.96500,0.8362912081128402,0.96750,0.96517,0.97000,0.96758,0.96750
model_14656,0.96900,0.96900,0.93675,0.95446,0.96900,0.96900,0.854304675603735,0.96900,0.96900,0.96900,0.96900,0.96900
model_37946,0.96900,0.96900,0.93675,0.95446,0.96900,0.96900,0.9582562871815004,0.96900,0.96900,0.96900,0.96900,0.96900
