model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Weighted Logistic Regression,0.75829,0.84255,0.40298655973492603,0.57617,0.78049,0.90625,not minority,"{0: 162, 1: 639}",glmm,pr_auc
Balanced Bagging Classifier,0.83700,0.88495,0.3034843196907471,0.57397,0.92683,0.84375,all,-,glmm,pr_auc
Weighted XGBoost,0.84052,0.88412,0.22885763965761285,0.55550,0.95122,0.81875,not minority,1,glmm,pr_auc
Weighted Decision Tree Classifier,0.78475,0.85183,0.2537331996686576,0.53626,0.85366,0.85000,0.75,"{0: 162, 1: 639}",glmm,pr_auc
