model_name,f2,roc_auc,tn,fp,fn,tp,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Weighted SVM,0.73222,0.80183,120,40,6,35,not minority,"{0: 1, 1: 10}",mestimator,f2
Easy Ensemble Classifier,0.72314,0.79245,117,43,6,35,not minority,-,mestimator,f2
KNeighbors,0.68528,0.81052,154,6,14,27,0.75,-,mestimator,f2
