model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Weighted Logistic Regression,0.75829,0.84255,0.40298655973492603,0.57617,0.78049,0.90625,not minority,"{0: 162, 1: 639}",james,pr_auc
Weighted XGBoost,0.84052,0.88412,0.22885763965761285,0.55550,0.95122,0.81875,not minority,1,james,pr_auc
Balanced Bagging Classifier,0.82627,0.87124,0.12935539961343379,0.52519,0.95122,0.79375,not minority,-,james,pr_auc
Weighted Decision Tree Classifier,0.76754,0.83614,0.12935539961343379,0.49670,0.85366,0.81875,not minority,"{0: 162, 1: 639}",james,pr_auc
