Feature,Rank
TRIALNO_2,503
PAPER_2,501
LEARN1_2,1
RECALL_2,1
LEARN2_2,1
LEARN3_2,20
HASCONF_2,33
CARENEED_2,7
Q1551_2,32
Q1561_2,30
Q1821_2,41
Q1822_2,46
Q781_2,12
Q871_2,56
Q1709_2,48
Q1708_2,36
Q1707_2,1
Q201_2,60
Q1742_2,59
Q1744_2,43
Q1745_2,49
Q1743_2,38
Q1031_2,50
Q331_2,1
Q75_2,1
Q1242_2,61
Q1041_2,44
Q1191_2,29
Q1061_2,75
Q71_2,72
Q512_2,14
Q72_2,66
Q491_2,78
Q722_2,83
Q1042_2,85
Q911_2,80
Q1182_2,55
Q1391_2,65
Q1043_2,81
Q1251_2,18
Q1044_2,86
Q642_2,89
Q1181_2,100
Q1271_2,103
Q1201_2,97
Q1141_2,5
Q901_2,96
Q502_2,16
Q1131_2,93
Q451_2,105
Q711_2,95
Q1231_2,134
Q652_2,2
Q643_2,109
Q1221_2,130
Q641_2,121
Q1171_2,138
Q611_2,124
Q1241_2,110
Q651_2,115
Q612_2,10
Q481_2,1
Q1051_2,155
Q1222_2,156
Q613_2,145
Q221_2,161
Q721_2,162
Q511_2,165
Q631_2,170
Q1211_2,175
Q1233_2,167
Q211_2,174
Q621_2,6
Q731_2,173
Q644_2,1
Q1232_2,181
Q191_2,186
Q1052_2,168
Q401_2,1
Q501_2,195
Q1751_2,151
Q1752_2,193
Q1671_2,200
Q1781_2,190
Q1661_2,182
Q1811_2,202
Q1705_2,147
Q1704_2,114
Q1755_2,197
Q1641_2,214
Q1703_2,132
Q1741_2,213
Q1771_2,128
Q1702_2,203
Q1701_2,196
Q1652_2,187
Q1651_2,231
Q1642_2,166
Q1634_2,233
Q1635_2,235
Q1753_2,229
Q1706_2,236
Q1754_2,159
Q1633_2,133
Q1632_2,241
Q1631_2,244
STORY_2,1
DRESS_2,19
LOSTIN_2,253
TOILET_2,1
LASTSEE_2,255
PAST_2,177
LASTDAY_2,1
MENTAL_2,201
KEPT_2,204
LOSTOUT_2,1
MONEY_2,27
ACTIV_2,15
WORDFIND_2,1
CONVERS_2,220
CHANGE_2,117
WORDWRG_2,281
PUT_2,1
ORIENT_2,243
FEED_2,286
CHORES_2,285
FRDNAME_2,135
FAMNAME_2,249
Q82_2_0.0,250
Q82_2_1.0,293
Q82_2_8.0,289
Q82_2_9.0,297
Q83_2_0.0,256
Q83_2_1.0,239
Q83_2_8.0,139
Q83_2_9.0,307
Q81_2_0.0,308
Q81_2_1.0,261
Q81_2_8.0,311
Q81_2_9.0,318
NPI12_0.0,314
NPI12_1.0,262
NPI12_98.0,266
NPI2_0.0,141
NPI2_1.0,325
NPI2_98.0,323
NPI1_0.0,329
NPI1_1.0,335
NPI1_98.0,330
NPI3_0.0,3
NPI3_1.0,337
NPI3_98.0,291
NPI5_0.0,273
NPI5_1.0,341
NPI5_98.0,271
NPI7_0.0,274
NPI7_1.0,349
NPI7_98.0,351
NPI8_0.0,207
NPI8_1.0,355
NPI8_98.0,209
NPI9_0.0,283
NPI9_1.0,361
NPI9_98.0,215
NPI11_0.0,299
NPI11_1.0,301
NPI11_98.0,369
NPI6_0.0,370
NPI6_1.0,340
NPI6_98.0,303
NPI10_0.0,375
NPI10_1.0,379
NPI10_98.0,377
NPI4_0.0,383
NPI4_1.0,385
NPI4_98.0,295
ICINTCOM_2_0.0,389
ICINTCOM_2_1.0,395
Q1351_2_0.0,387
Q1351_2_1.0,393
Q1351_2_8.0,399
Q1361_2_0.0,381
Q1361_2_1.0,397
Q171_2_0.0,305
Q171_2_1.0,405
Q1441_2_0.0,403
Q1441_2_1.0,409
Q1441_2_9.0,411
Q42_2_0.0,216
Q42_2_1.0,374
Q42_2_9.0,419
Q32_2_0.0,423
Q32_2_1.0,417
Q32_2_8.0,427
Q32_2_9.0,429
Q73_2_0.0,425
Q73_2_1.0,431
Q73_2_8.0,313
Q73_2_9.0,433
IRERROR_2_0.0,9
IRERROR_2_1.0,437
IRERROR_2_9.0,439
Q1365_2_0.0,445
Q1365_2_1.0,343
Q531_2_0.0,392
Q531_2_1.0,449
Q531_2_8.0,454
Q531_2_9.0,223
Q532_2_0.0,453
Q532_2_1.0,348
Q532_2_8.0,225
Q532_2_9.0,345
Q1371_2_0.0,358
Q1371_2_1.0,359
Q1371_2_9.0,363
Q371_2_0.0,365
Q371_2_1.0,367
Q371_2_9.0,468
Q1364_2_0.0,353
Q1363_2_0.0,407
Q381_2_0.0,414
Q381_2_1.0,421
Q381_2_8.0,402
Q381_2_9.0,435
Q533_2_0.0,440
Q533_2_1.0,467
Q533_2_8.0,443
Q533_2_9.0,447
Q301_2_0.0,413
Q301_2_1.0,245
Q301_2_8.0,451
Q1381_2_0.0,257
Q1381_2_1.0,458
Q1381_2_9.0,327
Q1362_2_0.0,263
Q74_2_0.0,333
Q74_2_1.0,267
Q74_2_8.0,275
Q74_2_9.0,277
Q1368_2_0.0,315
Q1368_2_1.0,319
Q1367_2_0.0,455
Q1367_2_1.0,459
Q281_2_0.0,461
Q281_2_1.0,463
Q281_2_2.0,469
Q281_2_8.0,471
Q541_2_0.0,473
Q541_2_1.0,475
Q541_2_8.0,477
Q101_2_0.0,479
Q101_2_1.0,481
Q101_2_8.0,17
Q101_2_9.0,485
Q76_2_0.0,487
Q76_2_1.0,489
Q76_2_8.0,491
Q76_2_9.0,493
Q102_2_0.0,495
Q102_2_1.0,497
Q102_2_9.0,499
Q452_2_0.0,504
Q452_2_1.0,502
Q452_2_8.0,500
Q31_2_0.0,498
Q31_2_1.0,494
Q31_2_8.0,492
Q31_2_9.0,490
Q292_2_0.0,488
Q292_2_1.0,484
Q292_2_8.0,466
Q292_2_9.0,452
Q352_2_0.0,450
Q352_2_1.0,448
Q352_2_2.0,446
Q352_2_8.0,444
Q352_2_9.0,442
Q341_2_0.0,438
Q341_2_1.0,436
Q341_2_2.0,434
Q341_2_8.0,432
Q351_2_0.0,430
Q351_2_1.0,428
Q351_2_2.0,426
Q351_2_8.0,424
Q111_2_0.0,422
Q111_2_1.0,420
Q111_2_9.0,418
Q291_2_0.0,416
Q291_2_1.0,410
Q291_2_8.0,408
Q291_2_9.0,406
Q293_2_0.0,404
Q293_2_1.0,401
Q293_2_8.0,400
Q293_2_9.0,398
Q361_2_0.0,396
Q361_2_1.0,394
Q361_2_8.0,391
Q361_2_9.0,390
IRHOME_2_0.0,388
IRHOME_2_1.0,386
IRHOME_2_9.0,384
Q11_2_0.0,382
Q11_2_1.0,380
Q11_2_9.0,378
Q294_2_0.0,376
Q294_2_1.0,373
Q294_2_8.0,372
Q294_2_9.0,368
Q931_2_0.0,366
Q931_2_1.0,364
Q931_2_8.0,362
Q931_2_9.0,360
Q21_2_0.0,357
Q21_2_1.0,356
Q21_2_8.0,354
Q21_2_9.0,352
Q391_2_0.0,350
Q391_2_1.0,347
Q391_2_8.0,346
Q391_2_9.0,344
Q41_2_0.0,342
Q41_2_1.0,339
Q41_2_9.0,338
Q18020_2_0.0,336
Q18020_2_1.0,334
Q18020_2_9.0,332
Q17922_2_0.0,328
Q17922_2_1.0,326
Q17922_2_8.0,324
Q17922_2_9.0,322
Q1796_2_0.0,312
Q1796_2_1.0,310
Q1796_2_9.0,306
Q18014_2_0.0,304
Q18014_2_1.0,302
Q18014_2_9.0,300
Q1803_2_0.0,298
Q1803_2_1.0,296
Q1803_2_9.0,294
Q1802_2_0.0,292
Q1802_2_1.0,290
Q1802_2_9.0,288
Q17911_2_0.0,284
Q17911_2_1.0,282
Q17911_2_9.0,280
Q18019_2_0.0,272
Q18019_2_1.0,270
Q18019_2_9.0,260
Q17912_2_0.0,254
Q17912_2_1.0,252
Q17912_2_9.0,248
Q17920_2_0.0,242
Q17920_2_1.0,240
Q17920_2_9.0,238
Q17910_2_0.0,234
Q17910_2_1.0,232
Q17910_2_9.0,230
Q1791_2_0.0,228
Q1791_2_1.0,194
Q1791_2_8.0,192
Q1791_2_9.0,164
Q1801_2_0.0,160
Q1801_2_1.0,158
Q1801_2_8.0,154
Q1801_2_9.0,87
Q1804_2_0.0,71
Q1804_2_1.0,40
Q1804_2_9.0,37
Q1805_2_0.0,54
Q1805_2_9.0,35
Q1807_2_0.0,57
Q1807_2_9.0,64
Q18016_2_0.0,63
Q18016_2_1.0,51
Q18016_2_9.0,42
Q18015_2_0.0,73
Q18015_2_1.0,69
Q18015_2_9.0,74
Q1795_2_0.0,94
Q1795_2_1.0,113
Q1795_2_9.0,90
Q18017_2_0.0,68
Q18017_2_1.0,84
Q18017_2_9.0,79
Q18018_2_0.0,53
Q18018_2_1.0,70
Q18018_2_9.0,76
Q1806_2_0.0,92
Q1806_2_1.0,98
Q1806_2_9.0,52
Q18012_2_0.0,99
Q18012_2_1.0,34
Q18012_2_9.0,101
Q1808_2_0.0,107
Q1808_2_1.0,24
Q1808_2_9.0,58
Q1792_2_0.0,45
Q1792_2_1.0,77
Q1792_2_9.0,122
Q18013_2_0.0,120
Q18013_2_1.0,123
Q18013_2_9.0,88
Q18011_2_0.0,129
Q18011_2_9.0,171
Q18010_2_0.0,119
Q18010_2_1.0,104
Q18010_2_9.0,149
Q1809_2_0.0,82
Q1809_2_1.0,126
Q1809_2_9.0,131
Q1798_2_0.0,111
Q1798_2_1.0,157
Q1798_2_9.0,91
PENTAG_2_0.0,1
PENTAG_2_1.0,127
CIRCLE_2_0.0,28
CIRCLE_2_1.0,125
HAMMER_2_0.0,172
HAMMER_2_1.0,169
SHOULD_2_0.0,176
SHOULD_2_1.0,185
ELBOW_2_0.0,163
ELBOW_2_1.0,25
Chin_2_0.0,102
Chin_2_1.0,136
WATCH_2_0.0,183
WATCH_2_1.0,144
SHOES_2_0.0,150
SHOES_2_1.0,198
CHAIR_2_0.0,142
CHAIR_2_1.0,178
ANIMALS_2_0.0,152
ANIMALS_2_1.0,137
ANIMALS_2_2.0,153
ANIMALS_2_3.0,21
ANIMALS_2_4.0,148
ANIMALS_2_5.0,1
ANIMALS_2_6.0,1
ANIMALS_2_7.0,188
ANIMALS_2_8.0,184
ANIMALS_2_9.0,23
ANIMALS_2_10.0,26
ANIMALS_2_11.0,208
ANIMALS_2_12.0,31
ANIMALS_2_13.0,258
ANIMALS_2_14.0,210
ANIMALS_2_15.0,279
ANIMALS_2_16.0,259
ANIMALS_2_17.0,317
ANIMALS_2_18.0,278
ANIMALS_2_19.0,412
ANIMALS_2_20.0,191
ANIMALS_2_21.0,268
ANIMALS_2_22.0,264
ANIMALS_2_23.0,441
ANIMALS_2_24.0,287
ANIMALS_2_26.0,251
ANIMALS_2_27.0,371
ANIMALS_2_28.0,212
ANIMALS_2_30.0,247
ANIMALS_2_32.0,415
ANIMALS_2_34.0,211
ANIMALS_2_35.0,246
ANIMALS_2_40.0,205
PENCIL_2_0.0,199
PENCIL_2_1.0,217
LONGMEM_2_0.0,8
LONGMEM_2_1.0,146
REPEAT_2_0.0,227
REPEAT_2_1.0,13
NRECALL_2_0.0,237
NRECALL_2_1.0,224
WORDIMM_2_0.0,11
WORDIMM_2_1.0,140
WORDIMM_2_2.0,269
WORDIMM_2_3.0,22
TOWN_2_0.0,219
TOWN_2_1.0,226
CHIEF_2_0.0,1
CHIEF_2_1.0,331
STREET_2_0.0,222
STREET_2_1.0,316
STORE_2_0.0,321
STORE_2_1.0,320
ADDRESS_2_0.0,309
ADDRESS_2_1.0,265
WORDDEL_2_0.0,221
WORDDEL_2_1.0,218
WORDDEL_2_2.0,206
WORDDEL_2_3.0,106
MONTH_2_0.0,189
MONTH_2_1.0,1
YEAR_2_0.0,276
YEAR_2_1.0,116
SEASON_2_0.0,180
SEASON_2_1.0,179
NOD_2_0.0,112
NOD_2_1.0,118
POINT_2_0.0,143
POINT_2_1.0,108
CHEMIST_2_0.0,62
CHEMIST_2_1.0,67
PRAY_2_0.0,47
PRAY_2_1.0,39
NAME_2_0.0,4
NAME_2_1.0,456
REASON_2_0.0,457
REASON_2_1.0,460
REASON_2_98.0,462
REASON_2_99.0,464
MUDDLED_2_0.0,465
MUDDLED_2_1.0,470
MUDDLED_2_98.0,472
MUDDLED_2_99.0,474
MEMORY_2_0.0,476
MEMORY_2_1.0,478
MEMORY_2_98.0,480
HOBBY_2_0.0,482
HOBBY_2_1.0,483
HOBBY_2_98.0,486
HOBBY_2_99.0,496
