model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Balanced Bagging Classifier,0.81590,0.86153,0.05472871958029957,0.50458,0.95122,0.77500,not minority,-,mestimator,f2
Weighted XGBoost,0.81545,0.86580,0.15423095962447853,0.52535,0.92683,0.80625,minority,10,mestimator,f2
Weighted Decision Tree Classifier,0.77778,0.84557,0.20398207964656812,0.51965,0.85366,0.83750,0.5,"{0: 162, 1: 639}",mestimator,f2
Weighted Logistic Regression,0.75949,0.82276,-0.0447735204638795,0.45789,0.87805,0.76875,0.75,"{0: 162, 1: 639}",mestimator,f2
