model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Balanced Bagging Classifier,0.82222,0.87608,0.3034843196907471,0.56728,0.90244,0.85000,not minority,-,glmm,f2
Weighted XGBoost,0.81967,0.86022,-0.01989796045283465,0.49278,0.97561,0.75000,minority,10,glmm,f2
Weighted Decision Tree Classifier,0.78475,0.85183,0.2537331996686576,0.53626,0.85366,0.85000,0.75,"{0: 162, 1: 639}",glmm,f2
Weighted Logistic Regression,0.76763,0.82499,-0.09452464048596898,0.45354,0.90244,0.75000,0.75,"{0: 162, 1: 639}",glmm,f2
