model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_524,0.58853,0.68486,0.33300,0.66728,0.61177,0.76371,0.951468637690597,0.65856,0.63442,0.61177,0.57427,0.68774
model_150,0.58736,0.60791,0.18602,0.60418,0.64194,0.58042,0.9604466959023656,0.59233,0.61191,0.64194,0.54318,0.61118
model_375,0.58499,0.71584,0.41754,0.69184,0.58123,0.85398,0.9885436811279764,0.70650,0.69263,0.58123,0.59738,0.71761
model_173,0.58309,0.60689,0.18851,0.61807,0.63067,0.58863,0.9920710172128667,0.59748,0.55150,0.63067,0.53733,0.60965
model_297,0.58234,0.69991,0.39483,0.67263,0.59537,0.80880,0.9276992887158143,0.69407,0.69205,0.59537,0.57455,0.70209
model_103,0.58151,0.69780,0.38411,0.67309,0.59935,0.80074,0.9757383848604695,0.68661,0.60974,0.59935,0.56599,0.70004
model_176,0.58040,0.68902,0.36342,0.67153,0.59183,0.79091,0.95874514525229,0.67667,0.70758,0.59183,0.58415,0.69137
model_440,0.57987,0.67994,0.35276,0.65750,0.60757,0.75821,0.9724443711020755,0.67152,0.53629,0.60757,0.55101,0.68289
model_388,0.57948,0.70860,0.40109,0.68651,0.56915,0.85110,0.9937861169128447,0.69727,0.72955,0.56915,0.60417,0.71012
model_520,0.57923,0.67668,0.31623,0.65907,0.60584,0.75348,0.9377584153426392,0.65057,0.64879,0.60584,0.56053,0.67966
model_510,0.57544,0.68840,0.36014,0.66960,0.58875,0.79318,0.9651817119153672,0.67578,0.70746,0.58875,0.57737,0.69096
model_272,0.57307,0.70357,0.39473,0.67648,0.58494,0.82704,0.95524176561724,0.69549,0.66063,0.58494,0.56688,0.70599
model_97,0.57226,0.68075,0.35149,0.66358,0.58717,0.77952,0.9483762695616108,0.67081,0.66568,0.58717,0.56698,0.68334
model_457,0.56885,0.68432,0.35508,0.66366,0.58744,0.78664,0.9562303165580622,0.67134,0.63925,0.58744,0.55721,0.68704
model_535,0.56761,0.69834,0.38916,0.66787,0.60017,0.80264,0.9720044363211343,0.69194,0.51780,0.60017,0.52780,0.70141
model_459,0.56754,0.67262,0.34249,0.64953,0.60372,0.74796,0.958603408785979,0.66903,0.49200,0.60372,0.52512,0.67584
model_157,0.56702,0.68125,0.34274,0.66167,0.58348,0.78425,0.9647885640393213,0.66673,0.64230,0.58348,0.55981,0.68386
model_162,0.56666,0.69444,0.37086,0.67230,0.57983,0.81439,0.968525753488935,0.67933,0.69230,0.57983,0.56174,0.69711
model_404,0.56515,0.68981,0.38473,0.67116,0.55017,0.83179,0.9208021286489968,0.68697,0.72196,0.55017,0.59903,0.69098
model_106,0.56515,0.66983,0.33427,0.64616,0.60457,0.74152,0.9607223913207379,0.66584,0.46185,0.60457,0.51889,0.67305
model_343,0.56420,0.68622,0.35908,0.65904,0.58626,0.79181,0.9672747357972592,0.67472,0.58099,0.58626,0.54281,0.68903
model_256,0.56293,0.69091,0.37383,0.66682,0.57811,0.80872,0.9592181957107155,0.68040,0.55439,0.57811,0.54745,0.69342
model_277,0.56256,0.68662,0.36168,0.66435,0.57633,0.80186,0.9676198510674802,0.67543,0.61374,0.57633,0.55276,0.68910
model_230,0.56070,0.70523,0.40004,0.68237,0.55509,0.85926,0.9580297497402053,0.70170,0.77621,0.55509,0.58570,0.70717
model_145,0.56036,0.68014,0.35022,0.66068,0.57172,0.79360,0.955687007252025,0.66744,0.61209,0.57172,0.55516,0.68266
model_525,0.55895,0.67864,0.34253,0.65496,0.58092,0.78155,0.9740986735208574,0.66726,0.58895,0.58092,0.53979,0.68123
model_229,0.55732,0.72457,0.44046,0.71653,0.52228,0.92937,0.9502961827836857,0.71378,0.86265,0.52228,0.62617,0.72583
model_11,0.55536,0.69110,0.37234,0.66769,0.54513,0.84045,0.9890588723349403,0.68359,0.68104,0.54513,0.57803,0.69279
model_437,0.55427,0.67807,0.34434,0.65497,0.57806,0.78376,0.9583423161543709,0.66886,0.51981,0.57806,0.52723,0.68091
model_253,0.55296,0.67030,0.33384,0.64815,0.58398,0.76282,0.9668688410459667,0.66300,0.49256,0.58398,0.51707,0.67340
model_463,0.55150,0.65247,0.26976,0.63871,0.57921,0.73190,0.9798704755376004,0.63228,0.56826,0.57921,0.53235,0.65556
model_267,0.55038,0.66296,0.29280,0.64936,0.56143,0.76982,0.9643941811026642,0.64027,0.65973,0.56143,0.55459,0.66562
model_159,0.55032,0.66031,0.30862,0.64469,0.56652,0.75913,0.9571143301694589,0.64879,0.64008,0.56652,0.54321,0.66283
model_169,0.54997,0.66774,0.32120,0.64897,0.56752,0.77309,0.9615897232371989,0.65767,0.57459,0.56752,0.53726,0.67031
model_449,0.54893,0.66486,0.32032,0.63751,0.58635,0.74953,0.970518287410329,0.65803,0.50077,0.58635,0.50614,0.66794
model_531,0.54734,0.67359,0.33479,0.65375,0.57202,0.78073,0.9617817915317604,0.66158,0.53188,0.57202,0.52197,0.67637
model_99,0.54595,0.66332,0.31588,0.64873,0.56484,0.76813,0.9459626733383157,0.65199,0.54982,0.56484,0.53051,0.66648
model_513,0.54512,0.67170,0.33244,0.64760,0.57585,0.77395,0.971503721960414,0.66442,0.46412,0.57585,0.50877,0.67490
model_446,0.54456,0.68065,0.34609,0.66261,0.55259,0.81382,0.9623026691597073,0.66779,0.67622,0.55259,0.54970,0.68321
model_538,0.54066,0.66695,0.32876,0.65306,0.56505,0.77521,0.9516058517915309,0.65749,0.56118,0.56505,0.51643,0.67013
model_443,0.53879,0.65876,0.31296,0.64080,0.57656,0.74798,0.9663868285270122,0.65323,0.44293,0.57656,0.49512,0.66227
model_178,0.53845,0.66202,0.31801,0.64359,0.56305,0.76657,0.9610275696426349,0.65518,0.55987,0.56305,0.51397,0.66481
model_454,0.53523,0.66473,0.31718,0.65363,0.54604,0.78967,0.9541294059191299,0.64879,0.60471,0.54604,0.53327,0.66786
model_508,0.53470,0.65055,0.28629,0.64117,0.55471,0.75261,0.9689205536888421,0.63672,0.59917,0.55471,0.52477,0.65366
model_90,0.53385,0.67139,0.33269,0.65559,0.54861,0.80004,0.9508110682014456,0.66211,0.64057,0.54861,0.52754,0.67432
model_444,0.53190,0.63856,0.25229,0.63852,0.56056,0.72148,0.9559097840148473,0.62571,0.62067,0.56056,0.50545,0.64102
model_532,0.53107,0.66562,0.31935,0.64668,0.54550,0.79092,0.9533294269667234,0.65501,0.55253,0.54550,0.52024,0.66821
model_274,0.52888,0.68193,0.34827,0.66612,0.51576,0.85233,0.9887089237973024,0.66335,0.69231,0.51576,0.55851,0.68404
model_268,0.52507,0.67388,0.32531,0.65535,0.52594,0.82636,0.9783621027940095,0.65607,0.71903,0.52594,0.53788,0.67615
model_349,0.52495,0.63090,0.25199,0.62257,0.56257,0.70644,0.9990821037622976,0.62234,0.58688,0.56257,0.49155,0.63450
model_536,0.51744,0.67381,0.33174,0.65963,0.53212,0.82143,0.957282371362779,0.66211,0.59269,0.53212,0.51246,0.67677
model_160,0.51638,0.67430,0.32933,0.65507,0.52679,0.82774,0.9762056293392192,0.65661,0.61796,0.52679,0.51240,0.67726
model_95,0.51532,0.66386,0.31303,0.64713,0.51906,0.81366,0.9480140168826292,0.64986,0.59586,0.51906,0.52226,0.66636
model_163,0.51510,0.65846,0.30060,0.64871,0.52244,0.80034,0.961005814857841,0.64187,0.61685,0.52244,0.52079,0.66139
model_73,0.51504,0.65928,0.31213,0.63985,0.54145,0.78329,0.9619984345897318,0.65341,0.46729,0.54145,0.48585,0.66237
model_221,0.51342,0.68742,0.36234,0.67440,0.49564,0.88299,0.908505170049576,0.67578,0.77750,0.49564,0.55629,0.68932
model_428,0.51322,0.71016,0.40274,0.70862,0.48108,0.94361,0.9048741598679865,0.69176,0.82970,0.48108,0.57897,0.71235
model_100,0.50863,0.64957,0.29079,0.63540,0.52247,0.78259,0.9599373735846882,0.64293,0.60946,0.52247,0.50546,0.65253
model_526,0.50854,0.65691,0.29357,0.64328,0.52225,0.79780,0.9671064916862517,0.63867,0.58273,0.52225,0.50438,0.66002
model_447,0.50292,0.62500,0.23468,0.61975,0.52731,0.72968,0.970434931383746,0.61239,0.56015,0.52731,0.48703,0.62849
model_270,0.50262,0.68271,0.35615,0.66550,0.50406,0.86674,0.9522554036655131,0.67418,0.65092,0.50406,0.51166,0.68540
model_330,0.50257,0.68362,0.35604,0.67281,0.49600,0.87650,0.97314987207111,0.67134,0.78797,0.49600,0.53126,0.68625
model_505,0.49858,0.68042,0.34816,0.66248,0.50577,0.86060,0.9568617575424169,0.66637,0.53981,0.50577,0.49472,0.68319
model_357,0.49480,0.65028,0.28569,0.63883,0.49467,0.81155,0.9643356129372895,0.63477,0.61253,0.49467,0.50865,0.65311
model_263,0.48689,0.63154,0.24152,0.62694,0.50243,0.76772,0.9744115148213962,0.61151,0.60212,0.50243,0.48339,0.63508
model_172,0.48594,0.65037,0.27690,0.63889,0.48885,0.81729,0.9960653715118364,0.63246,0.73467,0.48885,0.50114,0.65307
model_438,0.47671,0.62435,0.20827,0.64520,0.48487,0.76981,0.9896418133643826,0.60032,0.64672,0.48487,0.48174,0.62734
