model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_470,0.90878,0.76027,0.51269,0.69421,0.99056,0.53245,0.9862504324582569,0.76705,0.69604,0.99056,0.81280,0.76151
model_408,0.89015,0.76178,0.50741,0.70213,0.96014,0.56579,0.9558391986611697,0.76456,0.71013,0.96014,0.80897,0.76296
model_294,0.88917,0.72026,0.42943,0.66427,0.97911,0.46486,0.9462009464400268,0.72692,0.66781,0.97911,0.78746,0.72199
model_403,0.88093,0.73392,0.44968,0.67806,0.96186,0.50897,0.9015966492632875,0.73651,0.68446,0.96186,0.78988,0.73541
model_246,0.87929,0.68479,0.35247,0.63595,0.98144,0.39200,0.9015875246814379,0.69212,0.63812,0.98144,0.76665,0.68672
model_110,0.87712,0.65074,0.30836,0.61604,0.98976,0.31758,0.8716430892035758,0.66566,0.61669,0.98976,0.75436,0.65367
model_309,0.87355,0.65614,0.30366,0.62043,0.98269,0.33540,0.8982531445104392,0.66832,0.62176,0.98269,0.75510,0.65904
model_94,0.87090,0.67277,0.33005,0.63380,0.97299,0.37749,0.9992221819189654,0.67987,0.63764,0.97299,0.76094,0.67524
model_114,0.87024,0.77543,0.53618,0.71770,0.92148,0.63099,0.9100855108118052,0.77646,0.73623,0.92148,0.81013,0.77623
model_357,0.86700,0.69004,0.36701,0.65193,0.95987,0.42506,0.9943224463817181,0.69549,0.65979,0.95987,0.76759,0.69247
model_44,0.86535,0.62583,0.24378,0.60567,0.98662,0.27358,0.9092291369826414,0.63849,0.60370,0.98662,0.73892,0.63010
model_134,0.86464,0.59120,0.20522,0.57508,0.99585,0.19443,0.9470772719506834,0.61275,0.57532,0.99585,0.72555,0.59514
model_48,0.86349,0.60069,0.20264,0.58613,0.99151,0.21892,0.9602349072968838,0.61737,0.58670,0.99151,0.73019,0.60521
model_400,0.86275,0.76767,0.52426,0.70434,0.91281,0.62337,0.9439814219532096,0.76953,0.72076,0.91281,0.80069,0.76809
model_326,0.85963,0.74431,0.46184,0.68981,0.93313,0.55861,0.987976428499378,0.74308,0.70720,0.93313,0.77896,0.74587
model_52,0.85870,0.73985,0.45972,0.68302,0.92837,0.55358,0.8928934950549684,0.74094,0.69689,0.92837,0.77926,0.74098
model_115,0.85594,0.56381,0.14664,0.56279,0.99419,0.14265,0.974071475666491,0.58558,0.56310,0.99419,0.71327,0.56842
model_161,0.85118,0.72193,0.43105,0.67659,0.92620,0.52157,0.9909883702402329,0.72337,0.69074,0.92620,0.76853,0.72388
model_486,0.85103,0.66371,0.32119,0.63209,0.94290,0.38988,0.9025438528107085,0.67401,0.63730,0.94290,0.75079,0.66639
model_220,0.85004,0.53980,0.08226,0.54602,0.99883,0.09116,0.9119344578091293,0.55913,0.54604,0.99883,0.70029,0.54500
model_123,0.85003,0.62620,0.24059,0.60095,0.96001,0.29843,0.9373385883745949,0.63619,0.60587,0.96001,0.73344,0.62922
model_231,0.84943,0.71177,0.39107,0.66215,0.93255,0.49481,0.91162217441395,0.71147,0.67486,0.93255,0.76065,0.71368
model_322,0.84795,0.53795,0.09350,0.54564,0.99330,0.09414,0.903783877306204,0.56179,0.54621,0.99330,0.70010,0.54372
model_430,0.84644,0.53864,0.07628,0.54472,0.99424,0.09290,0.9565327426607199,0.55629,0.54513,0.99424,0.69797,0.54357
model_295,0.84602,0.52366,0.05068,0.53607,0.99970,0.05816,0.9510821700729746,0.54368,0.53607,0.99970,0.69263,0.52893
model_226,0.84394,0.50761,0.04162,0.53055,0.99905,0.02956,0.9829795264671859,0.53516,0.53054,0.99905,0.68879,0.51431
model_116,0.84383,0.53023,0.08264,0.54189,0.98919,0.08306,0.9352176484408493,0.55487,0.54228,0.98919,0.69598,0.53612
model_57,0.84360,0.55226,0.10767,0.55145,0.98258,0.13091,0.9300897258620557,0.56960,0.55204,0.98258,0.70135,0.55674
model_419,0.84256,0.50475,0.03089,0.52622,0.99964,0.02219,0.9475334099032019,0.53054,0.52622,0.99964,0.68569,0.51092
model_241,0.84165,0.50063,0.02210,0.52438,1.00000,0.01410,0.880828326777514,0.52663,0.52438,1.00000,0.68409,0.50705
model_488,0.84028,0.53093,0.08718,0.54304,0.98260,0.09084,0.9603398776264774,0.55522,0.54266,0.98260,0.69476,0.53672
model_291,0.84009,0.49327,0.01178,0.52077,1.00000,0.00000,0.982090763706953,0.52077,0.52077,1.00000,0.68127,0.50000
model_311,0.83998,0.56395,0.12640,0.56287,0.97155,0.16580,0.9487488953525123,0.57919,0.56503,0.97155,0.70580,0.56868
model_138,0.83981,0.49306,0.01137,0.52068,0.99959,0.00000,0.9273978514739236,0.52060,0.52067,0.99959,0.68109,0.49980
model_135,0.83975,0.72357,0.41562,0.67307,0.91158,0.53882,0.9344633512775221,0.72106,0.69236,0.91158,0.76362,0.72520
model_72,0.83967,0.49767,0.01958,0.52274,0.99768,0.01030,0.8704203763778209,0.52415,0.52274,0.99768,0.68226,0.50399
model_314,0.83963,0.49788,0.01964,0.52346,0.99721,0.01178,0.9870120585023578,0.52468,0.52345,0.99721,0.68268,0.50450
model_425,0.83934,0.58688,0.16699,0.57112,0.96201,0.21820,0.9517201905303218,0.59783,0.57314,0.96201,0.71109,0.59011
model_307,0.83890,0.52865,0.07951,0.54241,0.98152,0.08794,0.9870361134231569,0.55291,0.54329,0.98152,0.69405,0.53473
model_407,0.83838,0.52649,0.08362,0.53972,0.98058,0.08243,0.9481316935756636,0.55149,0.53991,0.98058,0.69242,0.53150
model_224,0.83781,0.55788,0.13192,0.56225,0.97141,0.15503,0.8748813842636868,0.57795,0.55727,0.97141,0.70076,0.56322
