model_name,f2,gmean,bss,pr_auc,sensitivity,specificity,sampling_strategy,cost_matrix,encoding_strategy,optimization_strategy
Weighted Logistic Regression,0.75829,0.84255,0.40298655973492603,0.57617,0.78049,0.90625,not minority,"{0: 162, 1: 639}",target,specificity
Weighted XGBoost,0.84052,0.88412,0.22885763965761285,0.55550,0.95122,0.81875,not minority,1,target,specificity
Weighted Decision Tree Classifier,0.78603,0.84822,0.15423095962447853,0.51118,0.87805,0.81875,0.5,"{0: 162, 1: 639}",target,specificity
Balanced Bagging Classifier,0.81897,0.86901,0.17910651963552326,0.53286,0.92683,0.81250,minority,-,target,specificity
